Id,LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice
51,50,13693,1Fam,5,6,1,0,5,1971,1501,3,GasA,Y,1362,0,2009,168639.580386121
52,66,13006,1Fam,7,8,1,1,7,1961,1610,3,GasA,Y,1602,0,2010,212476.237827757
53,105,10791,Twnhs,7,5,1,0,6,2003,712,3,GasA,Y,3140,0,2009,182113.087312896
54,75,7875,1Fam,5,8,2,1,6,2005,1595,2,GasA,Y,1425,0,2008,169779.654723881
55,50,8400,TwnhsE,6,7,1,0,7,1995,1232,2,GasA,Y,1208,0,2006,149680.694643701
56,,12400,1Fam,5,6,1,0,4,1920,864,3,GasA,Y,1235,0,2006,85278.1666782497
57,65,13000,1Fam,4,5,2,0,6,2003,784,3,GasA,Y,747,0,2010,141768.94524563
58,85,15593,Twnhs,6,5,1,1,5,2003,924,3,GasA,Y,803,0,2009,154794.283476053
59,74,8123,1Fam,6,7,1,1,6,1953,1126,3,GasA,Y,1969,0,2009,165870.917552066
60,37,10593,1Fam,5,5,2,0,7,2006,625,2,GasA,Y,1140,0,2010,151695.12755691
61,65,12456,1Fam,5,6,1,1,6,2008,912,3,GasA,Y,1389,0,2007,145184.329312287
62,75,11700,1Fam,7,8,1,1,6,1959,1258,3,GasA,Y,1360,0,2006,210939.068400021
63,76,5063,1Fam,5,5,1,1,4,1906,876,3,GasA,Y,1888,0,2010,122461.162339871
64,78,8414,1Fam,7,6,2,0,4,2004,525,3,GasA,Y,1324,0,2009,174004.762060437
65,69,11250,1Fam,4,5,2,0,8,1934,1237,3,GasA,N,2084,0,2007,66498.5944528923
66,85,15431,1Fam,8,5,2,0,5,1949,808,2,GasA,Y,1314,0,2008,191535.15815495
67,80,9549,TwnhsE,7,8,1,0,7,1885,1268,2,GasA,Y,1792,0,2008,169026.12356392
68,101,13478,1Fam,4,5,1,1,6,1993,864,4,GasA,Y,1250,0,2009,118663.347201412
69,98,13474,Duplex,5,5,1,1,6,2006,689,3,GasA,Y,902,0,2006,106046.743610812
70,,14000,Duplex,6,8,2,0,8,1923,1086,3,GasW,Y,1668,0,2006,140121.353142148
71,80,9765,1Fam,6,6,1,1,5,1961,1260,3,GasA,Y,1098,0,2007,157913.943260214
72,43,7819,1Fam,6,5,2,1,5,1953,1310,3,Grav,Y,2172,0,2009,153142.746543835
73,44,11457,1Fam,5,7,1,0,5,1999,1444,4,GasA,Y,1111,0,2006,147045.176151124
74,100,13907,1Fam,6,5,1,0,7,1988,1058,3,GasA,Y,1505,0,2010,197873.471019057
75,44,13350,1Fam,5,5,1,1,7,1958,1604,3,GasA,Y,1208,0,2009,164946.424615257
76,49,7226,1Fam,7,6,1,0,5,1993,894,2,GasA,Y,1146,0,2006,193002.092704903
77,74,10240,1Fam,7,6,2,0,7,1947,1713,4,GasA,Y,1110,0,2009,183298.58357362
78,80,11639,1Fam,9,5,2,1,7,1964,1144,3,GasA,Y,864,0,2009,208297.298481765
79,70,10300,1Fam,8,6,2,0,5,1954,720,2,GasA,Y,1086,0,2008,200845.02832281
80,54,8125,1Fam,7,3,1,1,7,1955,686,4,GasA,Y,1234,0,2006,158251.639100381
81,,8400,1Fam,5,6,3,0,5,1941,773,3,GasA,Y,1077,0,2009,173207.108230953
82,,9600,1Fam,7,6,2,0,4,2005,1032,3,GasA,Y,1429,0,2009,191903.279854278
83,75,4251,1Fam,5,7,2,1,5,2006,0,3,GasA,Y,1911,0,2007,150257.917186654
84,34,13811,1Fam,6,7,1,0,6,1965,943,4,GasA,Y,1818,0,2006,113587.952675788
85,85,22950,2fmCon,5,5,2,1,9,1910,951,3,GasA,Y,832,0,2010,174939.500601806
86,72,8633,1Fam,7,6,1,0,9,2005,884,0,GasA,Y,1802,0,2009,182847.413869985
87,79,2117,1Fam,6,5,1,0,6,1965,520,3,GasA,Y,1446,0,2008,104354.911730001
88,47,8004,1Fam,5,5,1,1,8,1974,1468,2,GasA,Y,980,0,2008,201780.213892842
89,69,15750,Duplex,5,6,1,1,8,1923,1056,3,GasA,Y,2576,0,2009,190216.482025569
90,,7227,1Fam,8,5,2,1,4,1998,1518,4,GasA,Y,1775,0,2007,287765.043411279
91,65,5330,Twnhs,5,7,1,0,4,1940,983,4,GasA,Y,1336,0,2007,114827.260755053
92,,9000,TwnhsE,6,3,2,1,9,1972,0,2,GasA,Y,1602,0,2009,153168.063238282
93,63,8450,1Fam,4,5,2,0,7,1954,1364,3,GasA,Y,2365,0,2010,135649.57180747
94,75,34650,1Fam,6,7,1,0,6,2005,1252,2,GasA,Y,1431,512,2009,171771.151489071
95,122,7540,2fmCon,9,6,2,1,10,1950,853,3,GasA,Y,1704,0,2009,287349.507713805
96,,8197,1Fam,5,6,2,0,6,1998,832,2,GasA,Y,1196,0,2009,160686.043746326
97,80,10628,1Fam,9,5,2,0,6,1957,777,4,GasA,Y,1944,0,2006,218793.650578778
98,74,8658,1Fam,6,5,1,0,6,1925,1237,2,GasA,Y,1646,0,2010,152512.879004437
99,97,9920,Duplex,5,3,2,0,6,1974,680,3,GasA,Y,1152,0,2010,99474.2374856333
100,,8470,1Fam,5,8,1,0,6,1935,1484,2,GasA,Y,2287,0,2010,164435.777414719
101,60,7599,1Fam,7,6,2,1,8,1958,384,3,GasA,Y,899,0,2008,198808.971882706
102,69,8800,1Fam,9,3,2,0,3,1975,998,3,GasA,Y,2013,0,2009,199103.619610553
103,88,9920,1Fam,5,7,1,0,6,1951,536,4,GasA,Y,1440,0,2006,162349.104472883
104,55,11475,TwnhsE,7,7,2,0,5,1954,799,3,GasA,Y,1232,0,2006,178517.970582716
105,74,13891,1Fam,5,7,2,1,9,2003,715,3,GasA,Y,1478,0,2009,125501.823661666
106,,9196,1Fam,4,6,1,0,6,1925,686,3,GasA,Y,864,0,2006,118751.442736651
107,50,10010,1Fam,7,5,2,2,5,1967,672,6,GasA,Y,1358,0,2006,155072.746642518
108,67,8197,1Fam,7,6,1,1,8,2007,1494,4,GasA,Y,1800,0,2010,236621.90466961
109,85,10918,1Fam,6,5,1,1,6,1950,680,3,GasA,Y,1158,0,2009,137889.170266375
110,74,8281,TwnhsE,8,5,1,1,6,1962,853,3,GasA,Y,825,0,2010,186239.117567649
111,,8246,1Fam,7,6,1,0,6,2000,1494,3,GasA,Y,1414,0,2008,184472.82871782
112,43,7758,1Fam,6,5,2,1,5,1957,1078,3,GasA,Y,2646,0,2008,157055.657651109
113,64,8760,1Fam,5,6,1,0,6,1904,1026,2,GasA,Y,1358,0,2008,124432.582806115
114,63,8012,1Fam,8,5,1,0,6,2006,1952,3,GasA,N,1229,0,2010,259974.194629137
115,59,10000,1Fam,7,5,2,0,6,1999,1203,4,GasA,Y,1262,0,2008,218662.391404836
116,32,14230,1Fam,8,4,1,0,6,1979,540,4,GasA,Y,1217,0,2009,155474.373541812
117,67,1920,1Fam,8,5,2,0,5,2002,1358,3,GasA,Y,1232,0,2007,194539.27818097
118,50,13159,1Fam,6,7,1,1,5,1963,740,3,GasA,Y,1929,0,2008,151888.217633065
119,70,8120,Twnhs,5,5,2,0,7,1972,1372,3,GasA,N,1744,0,2008,164983.429175383
120,80,9158,1Fam,4,7,1,0,7,1993,768,2,GasA,Y,2069,0,2007,110425.718641701
121,47,8248,1Fam,7,4,2,0,8,1960,1234,3,GasA,N,1453,0,2008,189560.864139565
122,,8544,1Fam,6,7,2,0,4,1963,928,3,GasA,Y,1306,0,2009,180561.187737094
123,,9900,1Fam,6,5,2,1,7,1954,1440,3,GasA,Y,3140,0,2008,158248.482705575
124,73,7922,1Fam,6,5,1,1,6,2005,742,2,GasA,Y,904,0,2009,173362.114591135
125,60,8658,Duplex,5,7,2,0,5,2004,1428,3,GasA,Y,1291,0,2009,170867.277975302
126,34,9000,1Fam,4,5,1,0,5,2008,720,3,GasA,N,988,0,2006,153763.83335634
127,60,8544,1Fam,5,8,2,0,7,2003,1682,2,GasA,Y,1316,0,2009,163879.478353848
128,84,5000,1Fam,6,5,2,0,5,2004,793,3,GasA,N,1716,0,2010,136743.651047828
129,65,12704,1Fam,8,5,1,1,7,1982,1580,3,GasA,Y,1761,0,2008,283747.824663896
130,65,9600,TwnhsE,7,5,2,1,9,1998,1656,3,GasA,Y,2097,0,2007,241165.592286787
131,,8400,Duplex,6,5,1,1,6,1970,756,3,GasA,Y,1416,0,2009,128292.839997937
132,60,14587,1Fam,7,9,1,0,5,2000,1200,3,GasA,Y,2142,0,2010,212989.536626046
133,72,8737,1Fam,8,5,2,0,4,1914,686,2,GasA,Y,960,0,2007,159323.100507782
134,75,8529,1Fam,10,8,1,0,10,1997,1337,2,GasA,Y,1269,0,2010,347238.779206942
135,75,9600,1Fam,4,5,2,1,6,1956,1604,4,GasA,Y,861,0,2006,151557.830995781
136,88,12378,1Fam,7,6,2,1,5,1908,864,3,GasA,N,1456,0,2010,176212.262639033
137,60,3880,1Fam,5,6,1,1,6,1996,918,2,GasA,Y,1426,0,2007,170236.582289258
138,74,13811,Duplex,9,5,2,0,6,1948,1157,3,GasA,Y,2069,0,2010,277858.707109797
139,50,16492,1Fam,5,5,2,1,6,1972,1143,2,GasA,Y,1563,0,2009,194742.136670267
140,,7711,1Fam,7,7,2,0,4,2005,894,4,GasA,Y,1651,0,2007,200162.377736749
141,77,1491,1Fam,8,6,1,1,4,1954,1563,2,GasA,Y,1200,0,2009,244349.105108896
142,24,8640,1Fam,7,7,2,0,7,1966,1311,3,GasA,Y,1098,0,2006,200861.618337235
143,,7800,1Fam,8,5,1,0,6,1960,936,4,GasA,Y,1385,0,2006,232716.85531905
144,100,12342,1Fam,5,5,1,0,7,1951,1777,3,GasA,Y,1425,0,2007,129057.134360593
145,85,7892,1Fam,8,7,1,1,6,1998,1364,3,GasA,Y,2364,0,2009,288245.297236742
146,70,11625,1Fam,7,5,1,0,8,1971,1453,3,GasA,Y,1414,0,2007,198683.208447701
147,70,10208,1Fam,5,5,2,1,8,2003,1453,3,GasA,Y,838,0,2009,191679.891221576
148,65,3982,1Fam,7,5,2,0,6,1941,1054,2,GasA,N,1733,0,2006,173288.766815512
149,80,8471,1Fam,6,5,2,0,6,2003,1277,2,GasA,N,1026,0,2006,188270.340006831
150,90,2448,1Fam,7,5,1,0,7,1973,1522,2,GasA,Y,1520,0,2009,190151.280038019
151,30,8765,1Fam,6,7,2,0,14,2006,847,3,GasA,Y,1709,0,2008,195524.643424858
152,50,3982,1Fam,7,6,1,0,5,1931,1262,2,GasA,Y,1574,0,2009,148306.447418217
153,59,4671,Twnhs,4,5,2,0,6,1980,941,3,GasA,Y,1489,0,2007,96483.2551121037
154,68,11924,1Fam,9,5,2,1,4,1983,1444,6,GasA,Y,1118,0,2008,300090.156840872
155,,10382,1Fam,7,6,1,0,5,1976,1268,3,GasA,Y,2324,0,2006,125964.628657214
156,66,10667,1Fam,8,5,1,0,4,1960,0,5,GasA,Y,1826,0,2007,146472.113132722
157,60,8405,1Fam,4,5,1,0,8,1880,1188,2,GasA,Y,1774,0,2006,130099.177839067
158,60,3600,1Fam,5,6,2,1,5,1976,576,2,GasA,Y,1339,0,2008,117023.902192337
159,58,14191,1Fam,5,7,2,0,6,2007,1362,2,GasA,Y,1367,0,2010,208464.44235495
160,67,12615,1Fam,5,5,1,0,6,1977,894,3,GasA,Y,1118,0,2008,110669.779701542
161,42,7742,TwnhsE,10,6,1,1,7,2003,1056,4,GasA,Y,1252,0,2010,303038.632764107
162,32,1680,1Fam,10,7,1,0,8,2003,1643,3,GasA,Y,943,0,2006,258500.686611488
163,80,8816,1Fam,5,5,2,1,6,1940,1362,3,GasA,Y,1683,0,2009,180226.80669368
164,21,8640,1Fam,6,5,1,0,10,1995,993,2,GasA,Y,1489,0,2006,114949.23098956
165,,11694,1Fam,7,6,2,0,9,1910,1010,2,GasA,Y,1218,0,2007,218249.700517047
166,,10300,1Fam,5,6,2,0,5,1919,783,3,GasA,Y,1120,0,2006,92423.9570456349
167,50,3922,1Fam,4,6,2,1,4,1972,1164,2,GasA,Y,1372,0,2009,137379.81564183
168,75,14585,1Fam,7,5,1,0,6,1972,894,2,GasA,Y,520,0,2006,188246.374937986
169,,10624,1Fam,6,6,1,1,10,1975,1034,3,GasA,Y,900,0,2006,157115.325465039
170,60,10420,1Fam,5,5,2,0,6,1924,3138,3,GasA,Y,1266,0,2007,108255.068497905
171,60,7590,1Fam,6,5,1,0,5,2006,1442,4,GasA,Y,1494,0,2006,176149.866855367
172,33,12508,Duplex,7,7,1,0,8,2006,1064,4,GasA,Y,864,0,2008,171364.426564005
173,95,7892,1Fam,6,5,2,0,7,1939,1149,3,GasA,Y,1477,0,2008,161278.318666195
174,74,22950,1Fam,5,5,2,0,5,2006,817,4,GasA,Y,900,0,2010,160127.543192615
175,82,2001,TwnhsE,8,5,2,1,8,1977,832,2,GasA,Y,1336,0,2007,193735.536714533
176,,8121,1Fam,8,5,2,1,6,2004,804,3,GasA,Y,754,0,2007,242328.577381105
177,,8765,1Fam,5,5,1,0,7,1920,2042,3,GasA,Y,938,0,2006,157701.321920229
178,67,10708,1Fam,6,5,2,0,7,1993,969,3,GasA,Y,1391,0,2006,169339.080579936
179,55,10264,TwnhsE,6,5,1,1,11,1956,796,2,GasA,Y,1252,0,2006,151381.363941887
180,60,12030,1Fam,6,9,2,1,6,1997,1127,4,GasA,Y,1196,0,2007,182794.580588531
181,95,9591,1Fam,4,5,3,1,5,1976,1340,2,GasA,Y,1242,0,2009,158325.963610449
182,50,12099,1Fam,6,5,1,0,5,1959,894,3,GasA,Y,968,0,2009,110477.16719338
183,67,19900,1Fam,7,6,1,1,5,1977,847,2,GasA,Y,3279,0,2007,174609.890984267
184,60,1680,1Fam,4,7,2,0,7,2006,936,4,GasA,Y,1750,0,2009,120396.510790849
185,,4435,TwnhsE,6,5,1,1,6,2003,819,2,GasA,Y,2320,0,2010,125753.817568538
186,61,21872,1Fam,4,5,1,0,6,1955,1673,3,GasA,Y,630,0,2006,186981.111245418
187,,14948,1Fam,6,7,1,1,7,1984,1705,3,GasA,N,1505,0,2006,172131.973046461
188,40,8741,1Fam,5,6,1,0,6,1957,360,3,GasA,Y,2183,0,2006,86036.7965195158
189,99,8899,1Fam,7,5,2,1,7,2007,540,6,GasA,Y,1050,0,2007,207185.866877465
190,85,10896,1Fam,9,6,1,1,7,2004,1057,4,GasA,Y,1526,0,2006,312870.658888867
191,85,9000,1Fam,5,8,2,0,6,2006,728,2,GasA,Y,901,0,2009,147613.397255974
192,,21453,1Fam,6,7,1,1,7,1961,1390,3,GasA,Y,1479,0,2009,188277.235459921
193,86,9000,1Fam,5,5,2,0,8,2005,0,3,GasW,Y,2149,0,2010,110678.949874817
194,60,8125,1Fam,6,5,2,1,10,1991,720,3,GasA,Y,980,0,2010,174222.080958126
195,81,9760,1Fam,5,6,2,1,10,1965,630,1,GasA,N,988,0,2007,157552.981251094
196,,8750,TwnhsE,8,7,2,0,8,1960,1002,3,GasA,Y,1434,0,2009,234376.119665784
197,99,9742,1Fam,5,5,2,1,8,1937,1340,1,GasA,Y,988,0,2009,186282.684609473
198,70,10778,1Fam,4,5,2,0,7,1976,1195,3,GasA,Y,789,0,2008,119795.330174698
199,82,11409,TwnhsE,5,5,1,0,6,1993,960,2,GasA,Y,1279,0,2008,151550.105265672
200,95,8470,1Fam,8,5,2,0,7,1957,3138,3,GasA,Y,1464,0,2010,243437.234866636
201,85,14145,1Fam,6,5,1,0,9,1927,793,3,GasA,Y,1385,0,2008,152344.511898966
202,63,25286,TwnhsE,7,6,2,0,6,1977,907,3,GasA,Y,1360,0,2007,194113.064104527
203,50,21453,Twnhs,6,6,2,0,5,1965,864,1,GasA,Y,1120,0,2008,187247.722614076
204,85,8197,1Fam,7,6,2,1,7,1940,1088,2,GasA,Y,1728,0,2008,221798.606664861
205,90,11096,1Fam,6,5,2,0,6,2003,1561,3,GasA,Y,924,0,2007,175204.030947322
206,63,8314,1Fam,6,5,2,1,7,1971,816,3,GasA,Y,1285,0,2010,154301.107854263
207,60,8244,1Fam,6,7,1,0,10,1971,912,2,GasA,Y,1319,0,2010,152285.132164337
208,55,8125,1Fam,7,5,2,0,5,1923,1720,3,GasA,Y,2263,0,2009,210362.178077941
209,90,10918,1Fam,9,5,2,0,6,2007,1218,3,GasA,Y,2134,0,2010,228948.864469663
210,43,10141,1Fam,5,7,1,1,6,2003,819,3,GasA,Y,1056,0,2008,151676.933326153
211,86,14226,1Fam,5,7,1,0,7,1920,768,1,GasA,Y,1639,0,2009,156775.216333561
212,60,8450,1Fam,5,8,2,0,6,2005,1057,3,GasA,Y,1456,0,2008,199534.786100939
213,63,7931,1Fam,5,4,2,0,5,2004,811,3,GasA,Y,1067,0,2006,141786.121271509
214,52,14850,1Fam,6,5,1,1,8,1963,1478,3,GasA,Y,1720,0,2007,174837.019663182
215,61,8712,2fmCon,5,5,1,1,9,1966,864,3,GasA,Y,1496,0,2010,140827.210170861
216,100,12342,1Fam,5,5,1,0,8,2006,1127,2,GasA,Y,1244,0,2006,179319.903530834
217,,2308,2fmCon,5,5,2,1,7,1967,1734,3,GasA,N,1232,0,2006,134406.207109798
218,24,8472,1Fam,7,5,2,0,6,2005,588,2,GasA,Y,1632,0,2006,177407.143306723
219,,8125,1Fam,6,5,1,0,5,2005,1063,3,GasA,N,1056,0,2007,143432.455420759
220,,8160,1Fam,7,5,1,1,5,1976,1099,4,GasA,Y,838,0,2006,152127.651208397
221,44,7000,1Fam,4,6,2,0,9,1971,1490,3,GasA,Y,1947,0,2007,148561.133192016
222,80,5232,1Fam,5,6,1,0,12,1978,1728,3,GasA,Y,1682,0,2009,149585.599879395
223,57,7200,1Fam,8,7,1,1,7,2004,901,3,GasA,Y,1844,0,2007,225587.698490905
224,,11275,1Fam,9,5,1,0,6,1993,1389,2,Grav,Y,1558,0,2007,285671.045497215
225,71,8400,1Fam,7,5,1,1,4,1980,864,2,GasA,Y,2466,0,2006,138682.474040738
226,34,4928,Twnhs,5,5,1,1,6,1964,1419,3,GasA,Y,1470,0,2009,147958.784155842
227,,8849,1Fam,6,5,2,0,6,1946,1698,2,GasA,Y,1327,0,2009,210014.381820732
228,94,9020,1Fam,7,6,2,0,6,2002,1008,3,GasA,Y,894,0,2007,165475.101316769
229,60,12735,Twnhs,5,5,1,1,5,2005,1008,3,GasA,Y,1044,0,2007,134652.188031139
230,121,11457,2fmCon,5,7,2,0,8,1988,992,2,GasA,Y,1664,0,2008,182111.659193123
231,,11120,TwnhsE,5,5,2,1,6,2005,1196,3,GasA,Y,1709,0,2007,182016.759591443
232,,3010,1Fam,7,7,1,0,7,1953,1086,2,GasA,Y,958,0,2008,191171.189920075
233,,11851,1Fam,8,6,1,0,6,1960,849,3,GasA,Y,2060,0,2006,192121.191586578
234,75,8529,1Fam,5,6,1,0,7,2005,990,4,GasA,Y,1844,0,2009,136845.855751572
235,,5500,1Fam,6,4,2,0,7,2007,2392,4,GasA,Y,943,0,2009,195768.004479611
236,62,7500,1Fam,6,4,1,1,10,1969,1252,3,GasA,Y,1479,0,2007,171057.008548531
237,87,8100,Duplex,8,7,2,0,9,1953,872,3,GasA,Y,902,0,2006,239860.509566544
238,88,11764,1Fam,7,5,2,0,7,1978,1164,3,GasA,Y,969,0,2009,164114.467951591
239,96,11717,Duplex,7,5,2,1,8,1974,1768,3,GasA,Y,2000,0,2008,224404.147894784
240,65,39104,1Fam,7,7,2,0,8,2005,1158,3,GasA,Y,1661,0,2009,304100.800751708
241,70,9416,1Fam,5,5,2,0,7,1958,720,3,GasA,Y,1041,0,2010,121641.55997676
242,63,14115,1Fam,6,5,1,0,5,2007,864,3,GasA,Y,894,0,2007,133527.384952431
243,70,10041,1Fam,6,6,1,0,9,1959,1050,3,GasA,Y,1766,0,2007,173109.947048135
244,70,5520,1Fam,8,5,1,0,8,2001,1097,3,GasA,N,1140,0,2008,251768.635691119
245,87,2001,1Fam,7,5,2,0,5,1965,1040,1,GasA,Y,1111,0,2009,129229.059288496
246,,10625,1Fam,6,5,1,0,6,1969,1028,2,GasA,Y,1602,0,2009,147826.944403756
247,60,5063,1Fam,6,5,1,0,5,1941,1262,3,GasA,Y,1786,0,2010,122448.162224243
248,60,21695,1Fam,6,5,2,0,5,1920,1203,3,GasA,Y,1056,0,2008,153047.206578214
249,64,9000,1Fam,9,5,2,1,6,1976,689,3,GasA,Y,1788,0,2008,258602.855942116
250,80,8100,TwnhsE,6,4,2,1,8,1967,1092,3,GasA,Y,2614,0,2009,153838.563898042
251,60,12155,1Fam,4,5,1,0,5,1925,1484,3,GasA,Y,1117,0,2010,122843.746947542
252,99,10007,1Fam,7,7,1,1,5,2005,912,2,GasA,Y,1768,0,2010,192104.482309144
253,70,8536,1Fam,7,6,2,1,6,1979,1479,4,GasA,Y,2034,0,2006,205460.767628092
254,107,9525,1Fam,5,5,2,1,5,1930,780,2,GasW,Y,2945,0,2009,157564.177211108
255,78,6820,1Fam,8,5,2,0,6,1987,793,1,GasA,Y,1344,0,2008,191441.059080749
256,50,9060,Duplex,9,5,2,1,6,1946,1484,3,GasA,Y,1430,0,2006,246706.15943233
257,50,9291,1Fam,7,5,1,0,6,2006,861,1,GasA,Y,1682,0,2007,157707.495867403
258,78,8120,1Fam,7,5,2,0,6,1928,802,4,GasA,Y,1126,0,2006,132466.972829287
259,,10029,TwnhsE,8,4,1,1,8,1977,965,3,GasA,Y,1148,0,2006,178732.036347458
260,50,7200,1Fam,6,5,2,0,8,1915,0,3,GasA,Y,1872,0,2010,193154.483373221
261,,11250,2fmCon,5,5,1,0,6,1999,1029,3,GasA,Y,864,0,2007,157341.034071773
262,,1920,Twnhs,7,6,2,0,6,2006,780,2,GasA,N,1376,0,2009,197256.294522577
263,,12168,1Fam,8,7,2,0,5,2005,1107,3,GasA,Y,2295,0,2006,242094.776723758
264,21,11616,1Fam,8,6,2,1,5,2006,1040,3,GasA,Y,1656,0,2006,218113.637280218
265,34,14559,1Fam,6,7,2,0,6,1925,1362,3,GasA,Y,1593,0,2007,173908.775908328
266,45,13650,1Fam,5,6,2,0,9,2003,750,1,GasA,Y,1456,0,2009,148307.993744589
267,84,7800,1Fam,6,5,1,0,6,1900,1324,3,GasA,Y,2398,0,2007,116610.439888488
268,100,10175,1Fam,4,5,1,1,5,1968,1148,2,GasA,Y,1344,0,2009,173445.438569962
