id,species1,species2,species3,species4,species5,species6,species7,species8,species9,species10
sample_41,0.472408267,0.500020684,8.02E-05,0.000170071,3.78E-06,7.86E-06,2.48E-09,0.001666329,0.025642175,6.08E-07
sample_42,8.87E-10,6.49E-08,0.000240813,6.83E-16,0.00106528,3.44E-10,0.332594706,0.0018146,2.00E-12,0.664284536
sample_43,5.34E-09,3.87E-07,0.000197301,3.17E-15,0.008572111,6.80E-10,0.027119267,0.013515273,9.37E-12,0.950595655
sample_44,1.70E-07,3.00E-06,0.989418449,3.78E-12,0.00968224,0.000657506,3.15E-06,5.90E-07,4.69E-08,0.00023485
sample_45,0.0283793,0.000180915,1.02E-06,0.970009142,5.98E-09,4.22E-08,3.71E-11,1.97E-05,0.001409911,5.07E-09
sample_46,2.01E-11,2.57E-10,2.36E-06,2.32E-17,5.45E-07,2.08E-12,0.986421968,2.16E-05,3.77E-14,0.013553568
sample_47,3.98E-06,1.98E-05,0.872754773,7.82E-10,0.00123519,0.125931072,4.13E-07,7.19E-07,1.40E-05,4.01E-05
sample_48,5.71E-11,1.32E-09,7.97E-06,5.38E-17,5.75E-06,8.06E-12,0.932001613,0.000112839,1.07E-13,0.067871819
sample_49,1.07E-09,1.16E-07,0.001003472,9.12E-16,0.002598688,1.15E-09,0.38347765,0.00112012,3.11E-12,0.611799952
sample_50,2.08E-11,9.48E-10,1.98E-05,2.16E-17,4.46E-06,1.23E-11,0.977941408,3.35E-05,5.27E-14,0.022000807
sample_51,0.013599037,7.97E-05,3.62E-06,0.985545397,7.44E-09,9.96E-08,1.22E-10,3.25E-05,0.000739621,1.18E-08
sample_52,6.97E-06,0.003595653,0.002497919,3.16E-12,0.84789108,4.78E-07,1.68E-05,0.134658348,1.82E-08,0.011332683
sample_53,2.45E-09,3.47E-07,0.002841849,2.10E-15,0.011686173,3.89E-09,0.201415401,0.001581614,8.03E-12,0.782474609
sample_54,6.62E-09,4.03E-08,6.45E-06,3.86E-15,0.000293576,3.00E-11,0.014558475,0.009573878,5.56E-12,0.975567575
sample_55,3.08E-06,1.55E-05,2.39E-05,8.82E-13,0.009484397,8.92E-10,4.17E-05,0.942486264,1.26E-09,0.047945226
sample_56,1.18E-07,2.43E-05,0.001695228,6.05E-14,0.54670724,2.18E-08,0.001459114,0.067987664,2.54E-10,0.382126354
sample_57,7.65E-08,3.46E-05,0.039927695,1.03E-13,0.95027209,1.70E-06,5.94E-05,0.000217501,8.80E-10,0.00948691
sample_58,7.85E-10,9.34E-08,0.023000467,1.11E-15,0.002505238,9.27E-09,0.75473934,7.32E-05,4.59E-12,0.219681643
sample_59,3.32E-09,2.47E-08,6.64E-06,2.08E-15,0.00018503,2.47E-11,0.03226539,0.005462486,3.15E-12,0.962080427
sample_60,2.75E-07,1.63E-05,0.000264577,1.08E-13,0.126926795,4.22E-09,0.000903852,0.415281697,3.06E-10,0.456606495
sample_61,4.02E-09,4.42E-09,1.70E-06,3.73E-15,1.82E-05,5.99E-12,0.073981466,0.000650239,3.11E-12,0.925348376
sample_62,8.16E-10,1.03E-07,0.014745264,1.05E-15,0.002763345,7.04E-09,0.718317918,0.000113779,4.29E-12,0.264059584
sample_63,5.57E-08,1.09E-05,0.37626902,1.33E-13,0.608911447,7.07E-06,0.000208754,4.01E-05,1.16E-09,0.014552589
sample_64,1.82E-11,7.21E-10,1.34E-05,1.89E-17,3.00E-06,8.65E-12,0.980947081,3.06E-05,4.41E-14,0.019005969
sample_65,0.010688776,0.041264802,0.000204503,0.001305124,5.59E-07,0.001737323,4.92E-10,1.76E-05,0.944781186,7.72E-08
sample_66,5.30E-09,3.78E-07,0.878782165,1.56E-14,0.029746,5.79E-07,0.020423469,8.96E-06,8.97E-11,0.071038447
sample_67,2.09E-08,6.16E-07,5.66E-05,1.00E-14,0.007680906,3.63E-10,0.005755052,0.061932347,2.30E-11,0.924574432
sample_68,7.80E-06,2.12E-06,1.69E-05,3.54E-12,0.002369484,3.15E-10,0.000716331,0.313703236,2.01E-09,0.683184094
sample_69,6.47E-12,3.73E-10,4.22E-05,8.36E-18,1.24E-06,1.36E-11,0.996055032,4.85E-06,2.23E-14,0.003896652
sample_70,2.55E-09,1.02E-07,0.934187061,1.02E-14,0.005966191,3.33E-07,0.024181552,2.13E-06,5.32E-11,0.035662629
sample_71,2.91E-07,5.50E-06,0.988010915,6.99E-12,0.010355867,0.00141915,2.42E-06,8.03E-07,9.41E-08,0.000204963
sample_72,0.015866934,0.000707999,1.96E-05,4.85E-09,0.000390767,5.95E-09,5.65E-07,0.982568023,1.16E-06,0.000444928
sample_73,3.59E-08,1.39E-05,0.019557412,3.40E-14,0.904734029,2.14E-07,0.000694001,0.001050413,2.18E-10,0.073949963
sample_74,5.19E-08,1.19E-05,0.270759231,1.08E-13,0.711179574,4.67E-06,0.000242768,5.84E-05,9.20E-10,0.017743449
sample_75,1.03E-10,4.96E-09,0.032469838,2.70E-16,4.24E-05,3.35E-09,0.954644292,1.51E-06,9.59E-13,0.012841915
sample_76,9.72E-07,1.60E-05,5.91E-05,3.10E-13,0.030585242,1.57E-09,0.000147445,0.83410104,6.19E-10,0.135090169
sample_77,0.00096546,0.261480627,0.001989119,3.99E-10,0.087565015,2.56E-06,2.44E-06,0.646281837,1.85E-06,0.001711094
sample_78,1.73E-05,0.00047619,0.685666988,9.97E-10,0.006267744,0.307461501,5.31E-07,7.28E-06,2.45E-05,7.79E-05
sample_79,7.69E-12,2.81E-10,8.91E-06,8.86E-18,7.83E-07,4.62E-12,0.994050127,1.06E-05,1.99E-14,0.005929589
sample_80,3.93E-12,1.67E-10,1.86E-05,5.42E-18,2.92E-07,5.90E-12,0.998396115,3.24E-06,1.27E-14,0.001581727
sample_81,0.984105913,3.84E-05,3.24E-06,1.81E-05,3.56E-06,1.34E-09,4.49E-08,0.015798133,1.64E-05,1.62E-05
sample_82,4.17E-11,2.82E-10,1.73E-06,5.12E-17,5.35E-07,1.88E-12,0.978168787,2.53E-05,6.92E-14,0.021803648
sample_83,8.19E-12,1.54E-10,3.33E-06,1.02E-17,2.49E-07,2.06E-12,0.995932147,8.98E-06,1.84E-14,0.004055291
sample_84,0.0001036,5.47E-05,0.000534277,0.002765059,6.46E-08,0.166014594,1.95E-10,1.95E-07,0.830527509,1.71E-08
sample_85,6.09E-06,0.000241054,0.930144188,1.66E-10,0.018741894,0.050678053,1.23E-06,7.67E-06,3.39E-06,0.000176431
sample_86,7.75E-06,0.008133227,0.038391916,9.91E-12,0.948101378,4.40E-05,6.38E-06,0.002873131,1.13E-07,0.002442059
sample_87,3.25E-09,3.64E-09,1.75E-06,3.19E-15,1.43E-05,5.66E-12,0.116027983,0.000496027,2.66E-12,0.883459982
sample_88,3.18E-07,2.02E-05,0.920124931,2.78E-12,0.078539538,0.000526326,7.50E-06,4.67E-06,3.65E-08,0.000776477
sample_89,4.39E-09,1.29E-07,3.78E-05,2.48E-15,0.001733768,1.44E-10,0.023142738,0.014384032,5.60E-12,0.960701501
sample_90,0.011176863,0.987010077,0.00016727,1.81E-07,2.49E-05,2.58E-05,3.67E-09,0.000764253,0.000829518,1.14E-06
sample_91,1.69E-10,1.30E-08,0.021242032,3.27E-16,0.000182942,3.76E-09,0.94155843,6.41E-06,1.26E-12,0.037010167
sample_92,0.0040745,0.000621164,0.000170597,0.941163926,3.52E-08,0.000194505,4.32E-10,1.41E-05,0.053761142,3.22E-08
sample_93,6.68E-12,4.25E-10,0.000112633,9.62E-18,1.43E-06,2.68E-11,0.996855119,2.84E-06,2.74E-14,0.003027973
sample_94,3.86E-09,2.50E-07,0.000153399,2.34E-15,0.005083785,4.73E-10,0.037504444,0.010475059,6.68E-12,0.94678306
sample_95,5.52E-09,1.76E-07,0.981507112,3.35E-14,0.012333601,1.92E-06,0.000515962,7.21E-07,2.26E-10,0.005640499
sample_96,4.19E-05,0.001040383,0.079659067,7.26E-09,0.000401497,0.918598817,4.57E-08,4.11E-06,0.000246809,7.35E-06
sample_97,9.11E-08,4.05E-05,0.003897463,6.00E-14,0.941118964,9.33E-08,0.00018385,0.006486842,3.54E-10,0.048272174
sample_98,0.018569684,4.03E-05,1.41E-06,0.98103388,5.53E-09,2.19E-08,8.59E-11,3.11E-05,0.000323657,9.37E-09
sample_99,1.90E-07,5.00E-07,0.998238881,2.18E-11,0.000928632,0.000745378,1.64E-06,9.53E-08,2.07E-07,8.45E-05
sample_100,1.47E-09,9.48E-08,0.000163451,1.03E-15,0.001649104,3.17E-10,0.152405106,0.003708158,2.89E-12,0.842074085
sample_101,3.84E-12,1.73E-10,3.15E-05,5.64E-18,2.74E-07,8.28E-12,0.99873801,2.47E-06,1.36E-14,0.001227753
sample_102,0.000852501,0.005096089,0.00243388,2.67E-05,2.67E-06,0.558767523,1.53E-09,3.48E-06,0.432816945,2.15E-07
sample_103,2.98E-10,2.56E-08,0.029556942,5.43E-16,0.000461258,6.34E-09,0.903733919,1.21E-05,2.17E-12,0.066235743
sample_104,1.27E-11,8.54E-10,0.000755724,2.19E-17,3.76E-06,1.23E-10,0.995318422,1.87E-06,6.86E-14,0.003920225
sample_105,8.39E-11,6.52E-10,2.46E-06,8.92E-17,1.82E-06,3.15E-12,0.93296685,7.38E-05,1.28E-13,0.066955027
sample_106,0.050844647,0.944880158,9.84E-05,4.71E-07,2.42E-05,4.88E-06,5.17E-09,0.003362831,0.000782663,1.73E-06
sample_107,0.991973114,0.004164167,4.32E-06,0.001320773,2.97E-07,5.27E-08,6.71E-10,0.001183031,0.001354084,1.58E-07
sample_108,8.99E-06,1.12E-05,0.108218053,3.82E-08,3.12E-05,0.891069973,2.53E-08,1.84E-07,0.000657982,2.32E-06
sample_109,4.00E-11,7.48E-10,4.89E-06,3.97E-17,2.64E-06,4.81E-12,0.957309942,6.77E-05,7.37E-14,0.042614868
sample_110,2.70E-05,0.000279789,3.30E-05,6.42E-12,0.007946174,4.46E-09,2.48E-06,0.988976654,1.12E-08,0.00273494
sample_111,0.055748255,3.30E-05,1.06E-06,0.943933487,9.25E-09,8.15E-09,1.42E-10,6.52E-05,0.000218902,1.77E-08
sample_112,9.18E-09,4.98E-09,1.29E-06,8.90E-15,1.91E-05,5.59E-12,0.032596705,0.000627171,5.95E-12,0.966755679
sample_113,4.32E-05,0.008720657,0.000906846,1.44E-11,0.234971773,2.40E-07,8.41E-06,0.748220875,5.96E-08,0.0071279
sample_114,0.922173215,8.38E-05,1.65E-06,0.076822151,8.35E-08,4.91E-09,8.72E-10,0.000682054,0.000236854,1.61E-07
sample_115,6.88E-10,2.15E-08,3.68E-05,5.05E-16,0.000208641,6.43E-11,0.3326894,0.002001812,1.13E-12,0.665063374
sample_116,0.001442651,0.000150575,7.14E-06,0.988326777,3.91E-09,4.48E-06,3.23E-11,2.57E-06,0.010065807,2.97E-09
sample_117,6.33E-09,4.77E-07,0.885068351,1.87E-14,0.040812402,7.51E-07,0.012408353,9.27E-06,1.12E-10,0.061700391
sample_118,3.87E-12,1.55E-10,1.80E-05,5.45E-18,2.37E-07,5.61E-12,0.998610126,3.12E-06,1.25E-14,0.001368533
sample_119,2.12E-06,0.001156024,0.138208663,4.67E-12,0.857924498,0.000126861,8.84E-06,0.000327522,5.98E-08,0.002245413
sample_120,1.93E-05,0.000162512,2.74E-05,4.63E-12,0.007364412,3.05E-09,3.19E-06,0.988799138,7.61E-09,0.003623999
sample_121,2.84E-09,3.36E-09,1.83E-06,2.84E-15,1.29E-05,5.62E-12,0.147891528,0.000447849,2.40E-12,0.851645912
sample_122,5.53E-11,3.99E-09,0.000120608,5.71E-17,3.28E-05,6.98E-11,0.945682358,6.25E-05,1.66E-13,0.054101728
sample_123,1.63E-11,1.12E-09,0.001087495,2.83E-17,5.63E-06,1.75E-10,0.99394772,2.04E-06,9.10E-14,0.00495711
sample_124,1.71E-11,9.40E-10,0.002439102,3.63E-17,3.56E-06,2.76E-10,0.99448555,1.03E-06,1.14E-13,0.003070751
sample_125,0.086554243,0.456403607,0.000310664,0.000682655,2.81E-06,0.000456735,1.80E-09,0.000195637,0.4553933,3.45E-07
sample_126,0.001222308,0.948582285,0.030779046,7.66E-09,0.011905892,0.005430625,3.05E-07,0.001830842,0.000150039,9.87E-05
sample_127,3.05E-09,1.18E-08,3.65E-06,2.15E-15,7.00E-05,1.30E-11,0.046121586,0.00258781,2.67E-12,0.951216948
sample_128,2.17E-06,3.89E-05,5.16E-05,6.24E-13,0.027688327,2.24E-09,3.64E-05,0.933712457,1.28E-09,0.038470152
sample_129,4.70E-12,1.37E-10,7.49E-06,6.30E-18,1.95E-07,3.16E-12,0.998160414,4.77E-06,1.29E-14,0.001827125
sample_130,0.004036301,0.975701264,0.006319193,1.61E-07,0.000337229,0.009923174,2.83E-08,0.000369606,0.003305694,7.35E-06
sample_131,1.04E-10,4.89E-09,0.033686739,2.76E-16,4.14E-05,3.42E-09,0.953678273,1.45E-06,9.77E-13,0.012592133
sample_132,0.000181502,0.000183162,0.000232707,0.001574639,6.10E-08,0.055471304,1.21E-10,3.09E-07,0.942356304,1.25E-08
sample_133,0.482748687,0.492909862,7.74E-05,0.000146631,3.93E-06,6.97E-06,2.55E-09,0.001805482,0.022300407,6.33E-07
sample_134,1.01E-07,7.89E-06,0.866533254,5.79E-13,0.131335889,7.71E-05,2.61E-05,5.09E-06,6.26E-09,0.002014618
sample_135,0.000644161,0.000783934,8.33E-05,0.007116658,4.44E-08,0.004010913,8.35E-11,8.55E-07,0.987360119,9.62E-09
sample_136,2.97E-05,0.000796541,7.36E-05,7.46E-12,0.018722147,1.24E-08,2.87E-06,0.977397204,1.71E-08,0.002977918
sample_137,0.006558695,9.36E-05,7.41E-07,0.992119123,2.35E-09,5.66E-08,1.58E-11,5.66E-06,0.001222096,1.94E-09
sample_138,6.82E-12,3.23E-10,0.000360362,1.32E-17,4.14E-07,4.94E-11,0.998705007,1.28E-06,3.42E-14,0.000932933
sample_139,3.98E-12,1.46E-10,1.58E-05,5.67E-18,1.96E-07,5.08E-12,0.998714419,3.26E-06,1.25E-14,0.001266329
sample_140,0.003862154,0.009036627,0.000109089,0.003004098,1.69E-07,0.001542088,2.01E-10,5.25E-06,0.982440495,2.82E-08
sample_141,4.22E-09,5.16E-07,0.000888499,2.95E-15,0.016377779,2.14E-09,0.060467793,0.005485855,1.04E-11,0.916779552
sample_142,4.19E-09,1.15E-07,3.38E-05,2.37E-15,0.001487247,1.27E-10,0.024079669,0.013610978,5.25E-12,0.960788178
sample_143,7.72E-11,6.01E-09,0.000181553,7.91E-17,5.66E-05,1.08E-10,0.926852575,8.09E-05,2.37E-13,0.072828367
sample_144,0.988314561,0.000339731,2.66E-06,1.30E-05,1.60E-06,3.70E-09,5.64E-09,0.011285809,4.07E-05,1.95E-06
sample_145,9.56E-08,1.05E-07,0.999298103,1.64E-11,0.000462466,9.35E-05,4.63E-06,4.05E-08,9.95E-08,0.000141006
sample_146,2.04E-09,5.94E-08,0.954105642,9.87E-15,0.003086544,2.90E-07,0.019473361,1.03E-06,4.96E-11,0.023333071
sample_147,1.20E-05,7.78E-06,1.84E-05,3.96E-12,0.004022257,5.66E-10,0.000106698,0.868805094,3.02E-09,0.127027795
sample_148,3.92E-07,1.87E-05,0.953017554,4.57E-12,0.045477887,0.000986377,4.74E-06,3.18E-06,6.31E-08,0.000491113
sample_149,1.53E-08,2.28E-06,0.525763773,2.86E-14,0.22600852,7.64E-07,0.023674445,9.69E-05,1.73E-10,0.224453264
sample_150,2.13E-07,5.16E-07,0.998204177,2.73E-11,0.000854549,0.000859036,1.53E-06,9.43E-08,2.58E-07,7.96E-05
sample_151,5.99E-07,0.000201239,0.233937659,1.58E-12,0.762804219,8.32E-05,1.56E-05,9.90E-05,1.90E-08,0.002858439
sample_152,0.00860623,0.006627494,5.53E-05,0.104829262,7.54E-08,0.00023818,1.53E-10,8.21E-06,0.879635268,1.99E-08
sample_153,4.78E-09,4.11E-07,0.676891213,1.14E-14,0.025542105,3.05E-07,0.116523879,2.38E-05,5.92E-11,0.181018249
sample_154,0.005715191,0.058339242,0.001853049,9.26E-05,4.60E-06,0.079449097,2.33E-09,2.09E-05,0.854524994,3.75E-07
sample_155,0.175982099,0.506684365,0.000211231,1.41E-07,0.000512805,8.88E-07,1.16E-07,0.316429271,0.000121292,5.78E-05
sample_156,0.00921743,0.982561203,0.000696708,6.97E-07,3.10E-05,0.000662925,4.94E-09,0.000271229,0.006557508,1.27E-06
sample_157,0.011757185,3.85E-05,7.31E-07,0.987851183,3.00E-09,1.74E-08,3.41E-11,1.41E-05,0.000338272,3.97E-09
sample_158,0.146557195,0.707183932,0.00020795,0.000267442,3.71E-06,0.000114012,2.11E-09,0.000431062,0.145234248,4.49E-07
sample_159,5.39E-12,2.63E-10,0.000186902,9.64E-18,3.59E-07,2.99E-11,0.998871745,1.44E-06,2.48E-14,0.000939556
sample_160,3.69E-05,0.044789853,0.053018989,4.87E-11,0.892378449,0.000127911,6.08E-06,0.007140455,5.86E-07,0.002500793
sample_161,2.71E-09,2.36E-07,0.000330341,1.83E-15,0.005572298,7.64E-10,0.077507208,0.005529968,5.72E-12,0.911059946
sample_162,5.91E-11,3.07E-10,1.62E-06,7.49E-17,5.70E-07,1.91E-12,0.972257493,2.71E-05,9.35E-14,0.027713177
sample_163,1.09E-06,0.000501521,0.153782174,2.50E-12,0.842930829,8.77E-05,1.11E-05,0.000197479,3.09E-08,0.002488084
sample_164,3.82E-12,1.60E-10,2.28E-05,5.50E-18,2.45E-07,6.58E-12,0.998700437,2.81E-06,1.28E-14,0.001273741
sample_165,0.956693182,0.005326121,6.71E-06,0.031668014,1.92E-07,1.50E-07,5.47E-10,0.000652876,0.005652651,1.08E-07
sample_166,5.78E-07,5.68E-06,0.990587065,2.98E-11,0.003884046,0.005419975,1.18E-06,5.28E-07,4.28E-07,0.000100526
sample_167,0.019652292,0.001795461,6.39E-06,0.937929314,1.75E-08,2.09E-06,6.17E-11,1.41E-05,0.040600331,8.20E-09
sample_168,2.32E-09,1.35E-07,0.672203857,6.65E-15,0.00568769,1.66E-07,0.213638026,8.20E-06,3.17E-11,0.108461922
sample_169,2.64E-09,2.28E-07,0.000322813,1.79E-15,0.005318193,7.40E-10,0.079839514,0.005430082,5.56E-12,0.909089167
sample_170,8.88E-11,8.25E-09,0.000550672,1.00E-16,9.27E-05,2.56E-10,0.934276913,5.01E-05,3.31E-13,0.065029603
sample_171,0.268342941,0.670410686,0.000125438,0.000211671,3.71E-06,2.77E-05,2.23E-09,0.000855785,0.060021527,5.10E-07
sample_172,5.36E-05,4.55E-05,1.21E-05,1.32E-11,0.002034605,1.03E-09,4.11E-06,0.992923201,1.08E-08,0.004926827
sample_173,0.004592943,0.030790099,0.000644879,0.000219806,1.37E-06,0.020830881,9.06E-10,1.17E-05,0.942908187,1.40E-07
sample_174,3.56E-05,3.44E-05,0.001111012,2.35E-05,2.10E-07,0.850139539,3.09E-10,1.06E-07,0.148655573,3.06E-08
sample_175,1.17E-11,1.46E-10,3.30E-06,1.65E-17,1.55E-07,2.11E-12,0.996814251,8.24E-06,2.59E-14,0.003174055
sample_176,6.67E-12,1.60E-10,4.37E-06,8.23E-18,2.83E-07,2.43E-12,0.996379668,8.01E-06,1.60E-14,0.003607666
sample_177,0.913944311,0.000199783,8.02E-06,2.75E-06,1.72E-05,3.64E-09,1.06E-07,0.085761543,1.86E-05,4.77E-05
sample_178,9.78E-10,1.70E-08,1.58E-05,6.93E-16,0.000139674,3.50E-11,0.202231379,0.002517124,1.31E-12,0.795095969
sample_179,0.002608259,0.000539875,8.11E-06,0.934377802,7.55E-09,1.09E-05,3.19E-11,2.60E-06,0.0624524,3.54E-09
sample_180,3.91E-12,1.85E-10,3.26E-05,5.64E-18,3.30E-07,8.68E-12,0.998570193,2.53E-06,1.39E-14,0.00139435
sample_181,1.41E-10,1.42E-09,4.12E-06,1.34E-16,5.28E-06,5.73E-12,0.858754591,0.000179859,2.10E-13,0.141056151
sample_182,8.26E-12,2.99E-10,8.80E-06,9.41E-18,8.58E-07,4.71E-12,0.993391796,1.17E-05,2.11E-14,0.006586877
sample_183,7.87E-06,0.000115845,0.793328489,6.48E-10,0.003704006,0.202763835,5.01E-07,2.70E-06,1.42E-05,6.26E-05
sample_184,3.96E-09,2.40E-07,0.000132558,2.38E-15,0.004683784,4.22E-10,0.034794149,0.011203723,6.63E-12,0.949185542
sample_185,8.36E-05,0.044569208,0.462670796,3.49E-10,0.481484479,0.008515519,5.48E-06,0.001128583,6.34E-06,0.001535978
sample_186,3.91E-12,1.85E-10,3.21E-05,5.64E-18,3.34E-07,8.62E-12,0.998552154,2.56E-06,1.39E-14,0.001412811
sample_187,6.20E-09,6.56E-07,0.000505666,3.90E-15,0.0189044,1.63E-09,0.030522296,0.010769521,1.31E-11,0.939297453
sample_188,8.10E-08,4.99E-08,0.999352775,1.82E-11,0.000339662,2.63E-05,1.34E-05,3.07E-08,7.80E-08,0.000267608
sample_189,7.06E-05,0.000309131,0.001896747,1.36E-06,1.37E-06,0.963327632,7.43E-10,4.27E-07,0.034392657,9.65E-08
sample_190,5.27E-09,3.02E-09,1.35E-06,5.91E-15,1.07E-05,4.75E-12,0.094611421,0.000313904,3.96E-12,0.905062655
sample_191,1.06E-07,2.86E-06,8.40E-05,4.35E-14,0.024322085,8.96E-10,0.001894007,0.240788871,9.85E-11,0.732908075
sample_192,0.000128019,0.12717196,0.011606788,8.03E-11,0.731596708,1.33E-05,7.39E-06,0.12508736,6.29E-07,0.004387856
sample_193,3.10E-05,0.00027339,0.00539116,6.13E-08,7.53E-06,0.992059431,2.16E-09,5.29E-07,0.002236584,3.06E-07
sample_194,1.52E-10,1.46E-09,4.06E-06,1.45E-16,5.44E-06,5.76E-12,0.849158809,0.000188162,2.24E-13,0.150643531
sample_195,1.09E-08,9.28E-07,0.874294654,3.35E-14,0.088619706,1.71E-06,0.00269327,9.30E-06,2.27E-10,0.034380416
sample_196,1.31E-07,5.04E-05,0.002654277,7.60E-14,0.909751872,6.41E-08,0.000225438,0.016819173,4.09E-10,0.070498607
