Id,LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice
46,65,8160,Twnhs,5,8,2,0,6,2003,892,3,GasA,Y,1536,0,2009,178289.969099642
47,70,11645,TwnhsE,6,5,1,0,6,1951,1064,2,GasA,Y,672,0,2007,156903.036414432
48,50,12435,1Fam,5,5,2,0,8,1965,1117,2,GasA,Y,1586,0,2010,138695.278114304
49,75,8405,TwnhsE,10,7,2,0,6,1994,1097,2,GasA,Y,864,0,2008,271967.597367645
50,,4058,1Fam,4,1,1,0,5,1941,1800,6,GasA,Y,1236,0,2008,102550.053763844
51,85,10320,1Fam,5,5,1,0,6,1947,819,3,GasA,Y,2013,0,2009,85091.1302070016
52,89,9531,1Fam,6,6,2,1,5,1959,728,3,GasA,Y,1284,0,2008,159576.53877612
53,60,8521,1Fam,7,8,1,0,7,2007,1868,3,GasA,Y,1414,0,2007,220525.06645006
54,33,17920,1Fam,6,7,2,1,5,2002,1792,3,GasA,Y,1252,0,2009,177017.245922936
55,,8410,2fmCon,6,5,2,0,7,1952,1434,3,GasA,Y,1114,0,2007,139764.747059406
56,102,7917,1Fam,7,6,1,1,6,1900,1060,2,GasA,Y,2217,0,2006,179863.40406439
57,63,10500,1Fam,6,5,1,1,6,1950,967,2,GasA,N,1539,0,2008,152256.299863804
58,66,14977,2fmCon,7,7,1,0,5,1978,900,3,GasW,Y,2263,0,2008,237695.896154013
59,,10708,1Fam,4,6,2,0,10,1954,1142,2,GasA,Y,1159,0,2008,160438.631094565
60,,12243,1Fam,5,6,2,1,5,1965,1050,3,Grav,Y,1844,0,2008,110252.336474182
61,,11414,Duplex,7,5,2,1,11,2007,624,3,GasA,Y,1304,0,2009,188260.850494941
62,69,7200,1Fam,8,5,1,2,6,2008,1425,3,GasA,Y,1437,0,2009,245560.322334563
63,66,12886,1Fam,4,6,0,1,5,1950,894,2,GasA,Y,1666,0,2007,136151.976615318
64,75,5600,1Fam,7,7,1,0,7,2001,1554,4,GasA,Y,2217,0,2006,222410.086568434
65,40,19296,1Fam,6,5,1,0,8,2005,1417,3,GasA,Y,764,0,2006,194904.532960519
66,70,17043,1Fam,8,5,2,0,6,1918,1088,3,GasA,Y,936,0,2007,189309.271066923
67,,10918,1Fam,7,5,2,0,4,1955,718,4,GasA,Y,1178,0,2006,197028.321992689
68,70,10335,Duplex,7,5,2,0,7,1910,943,3,GasA,Y,864,0,2009,172325.933298765
69,93,7200,1Fam,9,5,2,0,5,2006,1454,3,GasA,Y,1776,0,2007,255852.603243355
70,70,8450,1Fam,4,6,2,1,6,1920,672,3,GasA,Y,1717,0,2006,115518.29080989
71,72,9142,1Fam,5,5,2,0,8,2007,1408,2,GasA,Y,1200,0,2006,248988.369113559
72,,7800,1Fam,7,5,2,1,6,2006,1086,3,GasA,Y,2031,0,2008,173213.354867561
73,67,8773,1Fam,7,5,2,1,6,1914,861,3,GasA,Y,1818,0,2006,156296.163320958
74,53,9920,1Fam,6,7,2,0,9,1971,1650,1,GasA,Y,2036,0,2006,201430.264922912
75,50,9531,1Fam,7,5,2,0,10,1930,686,3,GasA,Y,1786,0,2007,154662.991805982
76,80,9303,1Fam,6,5,2,0,6,1986,729,2,GasA,Y,999,0,2009,153459.671987208
77,,10382,1Fam,6,5,2,0,5,2005,1260,4,GasA,Y,2596,0,2008,179200.94967097
78,65,9571,Twnhs,5,8,1,0,8,1916,1084,4,GasA,Y,768,0,2006,103633.076387724
79,43,16770,TwnhsE,6,5,1,0,6,2007,1753,3,GasA,Y,1178,0,2007,221214.7765031
80,67,12003,1Fam,5,6,1,1,5,1974,848,3,Wall,Y,1375,0,2010,141060.948608042
81,120,7388,1Fam,6,5,1,1,5,1956,1065,3,GasA,Y,2418,0,2006,147496.72519445
82,,10832,Twnhs,5,5,1,0,6,1950,1304,2,GasA,N,1734,0,2008,179866.081370743
83,85,5720,1Fam,5,5,1,0,6,1973,1930,3,GasA,Y,987,0,2009,147227.553030129
84,74,1890,1Fam,6,7,2,0,5,1929,1516,4,GasA,Y,1919,0,2009,195873.463960817
85,80,3922,1Fam,8,7,1,0,4,1958,483,3,GasA,Y,1752,0,2009,159918.668603451
86,,7758,1Fam,7,5,2,1,8,2007,0,2,GasA,N,4316,0,2006,176638.21581274
87,85,14587,2fmCon,7,5,1,0,4,1972,840,3,GasA,Y,1484,0,2008,212071.033589529
88,55,12243,1Fam,4,8,2,0,6,1993,1952,3,GasA,Y,1479,0,2006,136992.386962629
89,,14559,1Fam,9,6,2,0,7,1957,756,3,GasA,Y,4676,0,2009,171947.323702848
90,73,6858,1Fam,5,5,2,0,4,1963,715,3,GasA,Y,1851,0,2010,112322.702707303
91,65,8176,1Fam,5,8,2,0,7,1962,1310,3,GasA,Y,1509,0,2008,172561.925898871
92,96,9060,TwnhsE,5,5,1,0,6,1890,858,3,GasA,Y,2324,0,2008,103520.554094573
93,55,9150,1Fam,5,5,0,1,7,1954,2392,1,GasA,Y,1960,0,2009,172748.783813693
94,50,10800,1Fam,4,4,1,1,7,1957,1595,3,GasA,Y,1852,0,2007,126931.290236968
95,97,12552,1Fam,7,5,2,0,7,1975,768,3,GasA,Y,784,0,2006,166734.219589985
96,80,11428,1Fam,5,5,1,1,7,2005,951,2,GasA,Y,1314,0,2006,138138.927638287
97,85,7795,1Fam,5,5,2,1,8,1972,969,4,GasA,Y,1250,0,2009,165324.598675474
98,65,2665,1Fam,6,6,2,1,8,1977,372,3,GasA,Y,1894,0,2007,150521.643928886
99,80,7340,1Fam,7,5,1,0,7,2004,864,3,GasA,Y,1717,0,2006,189794.181981728
100,21,7758,1Fam,5,5,2,0,10,1961,630,3,GasA,Y,864,0,2010,87983.0056926987
101,87,13125,1Fam,4,6,2,0,6,1935,901,3,GasA,Y,1668,0,2006,133755.042522453
102,73,10083,1Fam,5,5,1,1,6,1976,910,1,GasA,N,1196,0,2008,147329.295003698
103,80,12227,1Fam,6,6,1,0,7,2004,1498,3,GasA,N,1370,0,2007,232007.984460504
104,65,7000,TwnhsE,4,5,1,0,4,2005,1232,2,GasA,Y,1604,0,2007,146994.710905695
105,60,16259,1Fam,6,4,2,1,7,2004,770,2,GasA,Y,1839,0,2009,140460.432984209
106,34,12640,1Fam,6,5,2,1,6,1957,700,3,GasA,N,778,0,2007,155264.222589072
107,,9018,1Fam,6,7,1,1,6,1973,1431,2,GasA,Y,1500,0,2006,182673.706860154
108,30,12800,1Fam,8,5,1,0,5,1971,3200,3,GasA,Y,1788,0,2006,279595.572016454
109,68,6762,2fmCon,7,7,2,1,7,2006,2444,2,GasA,Y,1478,0,2009,236666.930410189
110,73,7917,1Fam,5,5,1,1,7,1959,849,2,GasA,Y,951,0,2007,122766.344056771
111,,14145,1Fam,6,7,2,1,8,1950,1008,2,GasA,Y,1593,0,2007,239069.665226806
112,77,53107,1Fam,6,6,2,1,6,1954,813,2,GasA,Y,1718,0,2006,193304.654277033
113,66,11302,1Fam,4,5,1,1,5,2008,1822,3,GasA,Y,1317,0,2009,193892.28359271
114,60,9000,1Fam,6,8,1,0,8,1954,1800,3,GasA,Y,1646,0,2006,186019.029397622
115,75,7438,1Fam,8,5,1,0,9,1994,806,3,GasA,Y,1391,0,2010,199362.177830728
116,75,7892,1Fam,6,5,2,1,7,2004,1158,4,GasA,N,2291,0,2007,198295.753544614
117,,8544,1Fam,7,5,1,1,7,1948,672,4,GasA,Y,910,0,2007,162710.497586783
118,,4282,1Fam,6,5,1,0,5,1965,888,3,GasA,Y,1328,0,2006,116808.889191694
119,91,8820,1Fam,5,5,1,0,7,2003,728,2,GasA,Y,1383,0,2006,135526.827158867
120,70,14587,1Fam,4,5,1,1,6,1965,768,3,GasA,Y,1502,0,2008,110567.109121397
121,59,10171,1Fam,5,4,1,1,6,2005,1293,3,GasA,Y,1479,0,2008,169575.725418561
122,,8197,1Fam,6,5,1,1,7,1978,1215,2,GasA,Y,1625,0,2009,129356.6013883
123,100,12220,1Fam,5,5,1,0,7,2003,1086,2,GasA,Y,1728,0,2006,190451.792768544
124,76,9790,1Fam,5,9,2,0,8,2006,600,4,GasA,Y,1317,0,2007,182140.389879209
125,55,14364,1Fam,5,7,2,1,9,1920,440,2,GasA,Y,1114,0,2006,137062.083871901
126,64,19296,1Fam,6,5,2,1,6,1990,864,2,GasA,Y,1073,512,2006,172789.123762854
127,,9020,1Fam,5,6,2,0,8,1973,0,4,GasA,Y,861,0,2009,145677.851612776
128,106,8400,1Fam,6,5,1,0,8,1974,864,3,GasA,Y,1839,0,2010,150506.863090176
129,63,15138,1Fam,6,5,1,0,5,1962,860,3,GasA,Y,1494,0,2006,99550.498415468
130,150,8000,Duplex,5,5,2,1,9,1995,847,2,GasA,Y,1148,0,2007,172945.49099564
131,60,8990,Twnhs,6,6,2,1,8,2004,894,3,GasA,Y,1370,0,2006,160368.590612798
132,51,16466,1Fam,5,5,2,0,7,2005,1763,2,GasA,Y,1895,0,2007,207737.982877503
133,85,7861,1Fam,6,6,2,0,6,1975,596,4,GasA,Y,1269,0,2008,149491.785245752
134,84,10652,1Fam,6,5,2,1,9,1959,732,4,GasA,Y,2392,0,2007,169237.449113263
135,85,13860,1Fam,9,5,2,0,11,1990,596,3,GasA,Y,1578,0,2010,347670.465053462
136,70,8800,TwnhsE,4,6,1,0,6,2003,650,3,GasA,Y,1620,0,2010,121074.461623362
137,70,13673,1Fam,6,5,1,1,9,1967,1434,2,GasA,Y,1432,0,2009,172089.558452568
138,63,7937,1Fam,6,7,1,0,5,1924,1125,2,GasA,Y,1947,0,2007,141070.38052884
139,70,13907,1Fam,7,5,3,1,4,1984,798,2,GasA,Y,1034,0,2006,205154.503899411
140,82,9525,1Fam,7,8,2,0,7,1990,600,3,GasA,Y,1961,0,2006,219584.454944167
141,,6120,Twnhs,5,7,2,1,8,1961,1686,4,GasA,Y,1800,0,2008,182283.70851069
142,73,12090,1Fam,7,5,1,0,5,1995,876,4,GasA,Y,1285,0,2007,143401.99160532
143,80,22420,1Fam,7,5,3,2,8,2008,1276,3,GasA,Y,1032,0,2006,298172.88611739
144,65,11316,1Fam,8,6,1,1,7,1959,866,3,GasA,Y,968,0,2008,203245.002385329
145,60,7000,1Fam,6,6,1,0,4,1931,1362,5,GasA,Y,894,0,2009,115366.710232448
146,,10300,2fmCon,6,8,2,1,7,1929,1486,3,GasA,N,1118,0,2010,148269.029086575
147,86,10083,1Fam,7,7,1,0,7,2003,981,2,GasA,Y,1526,0,2006,175449.309853587
148,54,9135,1Fam,7,5,2,0,7,1996,858,3,GasA,Y,1340,0,2008,197789.074735574
149,60,9480,1Fam,8,5,2,0,7,1960,1013,3,Grav,Y,1750,0,2007,198768.047147968
150,60,8880,1Fam,10,5,1,0,5,1954,761,3,GasA,Y,2060,0,2010,219540.980052169
151,66,10896,TwnhsE,6,6,1,0,10,2003,880,3,GasA,Y,1539,0,2007,138109.619932561
152,,4280,1Fam,6,7,1,0,6,2009,644,3,GasA,Y,1464,0,2007,168297.054554176
153,70,8248,TwnhsE,5,5,2,0,4,1967,686,4,GasA,Y,1665,0,2010,127867.122465967
154,,11228,1Fam,5,5,1,0,8,1954,978,3,GasA,Y,1440,0,2009,108513.398150015
155,70,10200,1Fam,5,5,2,1,5,1996,770,3,GasA,Y,1362,0,2008,126921.245582975
156,,13500,1Fam,5,5,1,0,4,2003,1069,3,GasA,Y,1077,0,2007,173699.858906872
157,61,8750,1Fam,4,5,2,0,7,1972,847,3,GasA,Y,2034,0,2007,127979.175978731
158,49,8816,1Fam,8,5,1,0,5,1920,1593,2,GasA,Y,1656,0,2009,244294.081202214
159,73,9612,1Fam,7,7,1,0,6,2010,1078,4,GasA,Y,1400,0,2007,177560.924482769
160,60,7800,1Fam,5,5,2,1,8,1970,684,3,GasA,N,784,0,2006,135562.557648965
161,63,10007,1Fam,6,6,2,0,5,2007,901,2,GasA,Y,1614,0,2008,207102.338598688
162,68,10463,1Fam,5,5,2,0,7,1963,1256,2,GasA,Y,1593,0,2009,129610.035269895
163,94,3604,1Fam,7,5,1,1,6,1920,1200,4,GasA,Y,1936,0,2007,128119.96035556
164,65,9672,TwnhsE,8,8,2,1,5,1910,804,2,GasA,Y,1340,0,2009,207243.295109767
165,21,9786,Twnhs,6,5,2,1,7,2006,710,3,GasA,Y,1928,0,2009,105320.645508754
166,,10637,Duplex,6,5,1,0,6,1990,1442,2,GasA,Y,1842,0,2006,179435.888126632
167,50,8892,1Fam,6,6,2,1,9,1984,612,2,GasA,N,1489,0,2008,169623.536798054
168,59,10400,2fmCon,5,5,1,0,5,2005,1258,3,GasA,Y,1586,0,2009,126939.544841684
169,92,7264,1Fam,5,8,2,1,5,1972,793,3,GasA,Y,1509,0,2006,139214.023999615
170,,3604,1Fam,8,9,2,1,9,2003,1030,3,GasA,Y,902,0,2008,192013.653460704
171,,10896,1Fam,5,8,2,0,6,1949,1080,2,GasA,Y,1056,0,2006,148107.369054073
172,74,13860,TwnhsE,5,4,2,0,5,1954,1051,3,GasA,Y,768,0,2009,170591.055351522
173,60,10364,1Fam,6,5,1,0,4,2007,1396,4,GasA,Y,936,0,2008,176425.332771251
174,75,7200,Duplex,8,5,2,0,5,1993,1461,3,GasA,Y,1369,0,2008,220001.32058422
175,57,10624,1Fam,9,5,2,0,8,1938,1416,3,GasA,Y,1640,0,2007,285387.171133607
176,30,8640,TwnhsE,4,5,1,0,6,1932,1252,1,GasA,Y,2614,0,2008,108542.405717823
177,66,34650,1Fam,8,5,1,0,5,1988,718,2,GasA,Y,971,0,2006,246253.687528932
178,,12384,1Fam,6,3,1,1,5,1946,1430,2,GasA,Y,935,0,2009,88394.4594082671
179,65,14850,1Fam,7,2,2,0,6,1961,673,2,GasA,Y,2295,0,2009,175136.604455602
180,60,10437,1Fam,7,7,2,0,7,1938,1252,3,GasA,Y,1604,0,2009,206227.494705914
181,71,5330,1Fam,5,5,1,1,7,1971,735,3,GasA,Y,1644,0,2006,138331.049717734
182,52,2544,1Fam,6,5,1,0,5,1920,1266,3,GasA,Y,1285,0,2008,112801.119773641
183,122,12772,1Fam,6,5,1,1,6,1966,1856,3,GasA,Y,1034,0,2006,189217.194369424
184,98,8246,1Fam,4,5,2,0,5,2005,561,3,GasA,Y,1494,0,2008,81776.2290186494
185,68,12155,1Fam,7,8,2,0,6,1950,847,3,GasA,Y,1268,0,2007,213227.766846184
186,74,5825,1Fam,6,6,1,0,7,1924,864,3,GasA,Y,1431,0,2009,82635.7630068452
187,72,8172,1Fam,5,5,2,1,9,2006,723,3,GasA,Y,1620,0,2007,144756.976120176
188,,6155,1Fam,5,5,1,0,6,2004,576,3,GasA,Y,1717,0,2009,100687.18870747
189,64,6897,1Fam,9,5,1,1,5,2007,1200,3,GasA,Y,1476,0,2010,279683.178340428
190,75,12137,1Fam,7,5,1,0,6,2004,536,4,GasA,Y,1200,0,2006,151885.94372319
191,34,10395,Duplex,6,5,2,0,6,1967,1041,4,GasA,Y,1550,0,2009,123223.494595309
192,84,7200,1Fam,4,5,1,0,7,2006,1505,4,GasA,Y,1250,0,2006,170767.063258561
193,66,7560,1Fam,8,5,2,0,9,1967,1291,3,GasA,Y,2090,0,2007,242675.090487383
194,60,13560,1Fam,6,7,2,0,6,2006,2136,2,GasA,Y,1253,0,2009,231453.888383363
195,65,7446,1Fam,7,3,2,1,5,2003,907,3,GasA,Y,1200,0,2009,193684.748039861
196,64,12220,1Fam,4,5,1,1,6,1999,813,2,GasA,Y,1962,0,2009,167337.485683522
197,82,4438,1Fam,5,6,1,1,7,1910,1436,3,GasA,Y,1232,0,2009,141306.731531202
198,88,7180,1Fam,5,6,2,0,7,2006,764,3,GasA,Y,2020,0,2009,134029.53631326
199,,11670,1Fam,5,5,2,1,6,1890,1026,3,GasA,Y,1094,0,2006,136789.516809613
200,60,14226,1Fam,7,8,2,1,4,1963,729,2,GasA,Y,1468,0,2007,144633.658086948
201,60,9187,1Fam,6,7,2,1,4,1971,1127,2,GasA,Y,1297,0,2008,169457.429516909
202,70,21384,1Fam,5,5,2,1,6,1940,1176,1,GasA,Y,1340,0,2008,153907.056399079
203,,12400,1Fam,7,8,1,1,7,1959,525,3,GasA,Y,1768,0,2008,136484.385739294
204,63,7226,1Fam,7,5,2,1,9,2006,1204,3,GasA,Y,2614,0,2007,230400.766145348
205,62,5306,TwnhsE,5,7,1,1,7,1941,918,2,GasA,Y,2610,0,2008,136446.044446077
206,83,10552,1Fam,7,5,2,0,7,2004,1752,4,GasA,Y,1855,0,2007,231629.576197423
207,90,4500,1Fam,6,5,2,0,7,2007,912,3,GasA,Y,1056,0,2007,180313.358008798
208,,11478,1Fam,6,5,1,0,5,2003,1092,2,GasA,Y,912,0,2006,148729.563027578
209,,14442,Duplex,7,5,2,0,10,1951,1065,3,GasA,Y,1600,0,2008,219588.737899351
210,43,9612,1Fam,7,5,1,0,4,1979,1181,3,GasA,Y,1728,0,2008,167925.505939766
211,52,14963,1Fam,8,8,1,1,6,1970,1056,3,GasA,Y,1839,0,2009,229183.237823159
212,,9500,1Fam,7,5,3,1,6,1951,893,2,GasA,Y,1375,0,2008,193906.604761509
213,65,14850,1Fam,8,6,2,0,7,2004,1533,3,GasA,Y,1069,0,2007,285570.518792885
214,82,14601,TwnhsE,5,5,3,0,7,1961,1473,3,GasA,Y,1919,0,2007,185278.489876148
215,60,4928,TwnhsE,6,5,1,0,5,1948,1719,3,GasA,Y,1734,0,2006,139513.447104725
216,69,10920,Duplex,8,5,2,1,5,1976,1004,3,GasA,Y,912,0,2007,228887.917222635
217,,14145,1Fam,5,5,1,1,5,1989,798,2,GasA,Y,1471,0,2007,141266.830959703
218,77,3378,1Fam,7,5,2,0,8,1953,1694,3,GasA,Y,2046,0,2007,177530.21024323
219,85,3880,1Fam,5,5,1,0,5,1956,1063,2,GasA,Y,2097,0,2006,73938.7016254208
220,24,9600,1Fam,4,6,1,1,6,1959,1496,3,GasA,Y,1350,0,2008,147166.274692637
221,69,8480,1Fam,5,6,2,1,6,1999,1362,3,GasA,N,1340,0,2006,157604.816144497
222,63,10237,1Fam,5,5,1,1,6,1925,1482,2,GasA,Y,1224,0,2006,142104.488549977
223,80,1920,1Fam,5,5,2,0,6,1973,1176,3,GasA,Y,1212,0,2008,166395.00921898
224,94,10530,1Fam,7,5,1,0,6,2006,876,3,GasA,Y,1131,0,2008,158220.977700148
225,60,215245,1Fam,5,5,2,0,6,2010,561,2,GasA,Y,1426,0,2007,184357.795665481
226,88,8712,1Fam,5,5,1,1,7,2000,1252,0,GasA,Y,1474,0,2009,174721.797603475
227,60,7700,1Fam,7,5,2,0,5,1971,964,4,GasA,Y,1656,0,2006,170630.548622365
228,84,12354,1Fam,5,5,1,0,5,1971,864,3,GasA,Y,2229,0,2007,142523.175436231
229,73,5400,1Fam,8,5,2,1,6,1982,1032,3,GasA,Y,1850,0,2010,228895.033576582
230,34,5306,1Fam,6,5,2,1,5,1918,880,2,GasA,Y,1535,0,2009,134366.998080627
231,70,9600,Twnhs,5,5,1,0,7,1972,1141,3,GasA,Y,1072,0,2008,165005.60308525
232,75,8400,1Fam,5,4,1,0,7,1977,1626,3,GasA,Y,1456,0,2008,167478.092653881
233,,10007,1Fam,3,7,1,1,3,2006,864,3,GasA,Y,910,0,2010,140568.370077664
234,72,8536,1Fam,7,8,2,1,7,2003,858,2,GasA,Y,864,0,2010,220482.145131286
235,21,10007,1Fam,8,7,1,1,6,1940,858,3,GasA,Y,1732,0,2009,193677.939587241
236,30,14803,1Fam,5,4,2,1,6,1997,1122,4,GasA,Y,964,0,2008,196050.086326961
237,72,7018,1Fam,6,5,2,1,5,1880,483,2,GasA,Y,1707,0,2007,118867.837144872
238,140,8120,1Fam,4,6,3,0,5,2003,1249,3,GasA,Y,1324,0,2006,186780.236553316
239,,12474,1Fam,5,5,2,1,6,2000,1190,3,GasA,Y,1953,0,2007,200954.794663458
240,65,6060,1Fam,5,5,2,0,6,1880,1905,3,GasA,Y,630,0,2007,138956.520032363
241,65,11070,1Fam,5,5,2,0,5,1947,1032,2,GasA,Y,1004,0,2010,123394.960394941
242,94,10800,1Fam,4,5,1,0,8,2001,948,2,GasA,Y,1200,0,2008,164566.959718329
243,50,53504,1Fam,7,6,1,1,7,1952,1088,2,GasA,Y,1229,0,2009,230997.896412005
244,,12224,1Fam,5,5,2,0,7,1983,596,3,GasA,Y,1692,0,2009,140557.474498841
245,110,11457,1Fam,9,5,1,1,5,1974,994,3,GasA,Y,980,0,2010,240160.543473733
246,50,8480,1Fam,10,5,1,0,6,2005,1698,3,GasW,N,1365,0,2009,309187.497727074
247,79,10800,1Fam,7,5,1,0,6,1999,1196,4,GasA,Y,1135,0,2007,208595.387404638
248,44,7128,1Fam,6,7,1,0,7,1977,807,2,GasA,Y,1098,512,2008,113933.842974655
249,,8400,1Fam,6,5,2,0,7,1939,770,3,GasA,Y,1466,0,2010,136726.520327693
250,,13478,1Fam,5,5,2,0,4,1962,1616,3,GasA,Y,1314,0,2006,185079.476717667
251,51,8281,1Fam,7,7,1,0,4,1976,1623,3,GasA,Y,1069,0,2008,156118.739597713
252,75,9600,1Fam,9,5,2,0,6,1959,741,3,GasA,Y,1242,0,2007,254127.156436016
253,51,10800,1Fam,5,6,2,0,5,1979,1121,1,GasA,Y,2610,0,2008,165303.878650725
254,93,9549,1Fam,6,5,1,1,7,1948,915,2,GasA,N,1155,0,2008,181228.312944283
255,59,8820,1Fam,7,5,1,0,5,1977,848,4,GasA,Y,1092,0,2006,147466.167224901
256,50,11333,1Fam,6,6,1,1,6,1934,1358,2,GasA,Y,1362,0,2007,156486.749807543
257,,3675,1Fam,7,5,2,1,7,1972,608,3,GasA,Y,1969,0,2009,141362.065292006
258,65,10004,1Fam,4,8,2,0,7,2008,798,2,GasA,Y,1550,0,2009,111952.642418482
259,,8470,TwnhsE,5,9,2,0,6,1980,1253,4,GasA,Y,955,0,2010,176678.701711657
260,78,10335,1Fam,5,6,1,1,7,1928,1164,2,GasA,Y,1114,0,2010,177506.937588773
261,75,12435,TwnhsE,5,5,2,0,4,1988,864,3,GasA,Y,2531,0,2007,162960.251591856
262,50,6120,1Fam,6,5,2,1,6,1946,1364,2,GasA,Y,854,0,2006,178462.437930534
263,60,11070,Twnhs,5,7,2,0,5,1953,2046,2,GasA,Y,1258,0,2010,184777.487275352
264,40,2651,1Fam,4,5,2,1,7,1950,676,3,GasA,Y,1716,0,2010,74880.0678204155
265,75,8755,1Fam,6,5,2,1,5,2004,1726,4,GasA,Y,1614,0,2009,182347.187917009
266,50,13265,1Fam,6,5,1,0,8,1928,1656,3,GasA,Y,1797,0,2009,172461.824587126
267,60,11670,1Fam,6,5,1,1,5,1920,1698,2,GasA,Y,1535,0,2008,173981.210279515
268,24,8000,1Fam,7,6,2,0,9,2006,884,3,GasA,Y,990,0,2006,164423.672444478
