id,card_name,mana_cost,cmc,colors,type,types,supertypes,subtypes,rarity,power,toughness,loyalty,text,set,set_name
873ea568-3c77-59fd-8125-5da2de48f0d2,Angelic Wall,{1}{W},2,White,Creature — Wall,Creature,"",Wall,Common,0,4,,"Defender (This creature can't attack.)
Flying",10E,Tenth Edition
84304c11-af1d-5cf1-9a19-b8c63def257a,Arcane Teachings,{2}{R},3,Red,Enchantment — Aura,Enchantment,"",Aura,Uncommon,"","",,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature gets +2/+2 and has """"{T}: This creature deals 1 damage to any target.""""",10E,Tenth Edition
7ab77d62-5ec3-5a5a-9c7c-6ddc5281b273,Arcane Teachings,{2}{R},3,Red,Enchantment — Aura,Enchantment,"",Aura,Uncommon,"","",,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature gets +2/+2 and has """"{T}: This creature deals 1 damage to any target.""""",10E,Tenth Edition
3bac81ad-efc0-510f-a34e-5aa495f32bb8,Arcanis the Omnipotent,{3}{U}{U}{U},6,Blue,Legendary Creature — Wizard,Creature,Legendary,Wizard,Rare,3,4,,"{T}: Draw three cards.
{2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand.",10E,Tenth Edition
db6218d8-04ed-52c6-9ea9-2a3d763eaba1,Ascendant Evincar,{4}{B}{B},6,Black,Legendary Creature — Vampire,Creature,Legendary,Vampire,Rare,3,3,,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Other black creatures get +1/+1.
Nonblack creatures get -1/-1.",10E,Tenth Edition
f2d8870e-3ac7-550c-9f80-742b19735a38,Ascendant Evincar,{4}{B}{B},6,Black,Legendary Creature — Vampire,Creature,Legendary,Vampire,Rare,3,3,,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Other black creatures get +1/+1.
Nonblack creatures get -1/-1.",10E,Tenth Edition
baf4dd4c-bc49-5fa6-a119-ed59c0031be4,Assassinate,{2}{B},3,Black,Sorcery,Sorcery,"","",Common,"","",,Destroy target tapped creature.,10E,Tenth Edition
d4a710b1-8a0b-5ca1-ae78-6833762be626,Aura Graft,{1}{U},2,Blue,Instant,Instant,"","",Uncommon,"","",,Gain control of target Aura that's attached to a permanent. Attach it to another permanent it can enchant.,10E,Tenth Edition
aeee62f6-3f05-581b-8d27-03bf0c215c30,Aura of Silence,{1}{W}{W},3,White,Enchantment,Enchantment,"","",Uncommon,"","",,"Artifact and enchantment spells your opponents cast cost {2} more to cast.
Sacrifice Aura of Silence: Destroy target artifact or enchantment.",10E,Tenth Edition
b20b6ef2-c8f9-5810-9b7f-af4e7d207fe7,Avatar of Might,{6}{G}{G},8,Green,Creature — Avatar,Creature,"",Avatar,Rare,8,8,,"If an opponent controls at least four more creatures than you, this spell costs {6} less to cast.
Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)",10E,Tenth Edition
df16eb18-b130-597d-b0b7-bdfdde32e86f,Avatar of Might,{6}{G}{G},8,Green,Creature — Avatar,Creature,"",Avatar,Rare,8,8,,"If an opponent controls at least four more creatures than you, this spell costs {6} less to cast.
Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)",10E,Tenth Edition
c0de6fd8-367a-50fb-b2f4-2b8fa5aeb7d9,Aven Cloudchaser,{3}{W},4,White,Creature — Bird Soldier,Creature,"",Bird Soldier,Common,2,2,,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aven Cloudchaser enters the battlefield, destroy target enchantment.",10E,Tenth Edition
2dd39d0e-5e6f-5a74-978b-7ef67ffa8b73,Aven Cloudchaser,{3}{W},4,White,Creature — Bird Soldier,Creature,"",Bird Soldier,Common,2,2,,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aven Cloudchaser enters the battlefield, destroy target enchantment.",10E,Tenth Edition
aea807be-9b29-53fa-9665-b00b62d5dced,Aven Fisher,{3}{U},4,Blue,Creature — Bird Soldier,Creature,"",Bird Soldier,Common,2,2,,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aven Fisher dies, you may draw a card.",10E,Tenth Edition
ab49e18a-634e-55a4-8aff-8bdd4e5e4a57,Aven Fisher,{3}{U},4,Blue,Creature — Bird Soldier,Creature,"",Bird Soldier,Common,2,2,,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aven Fisher dies, you may draw a card.",10E,Tenth Edition
4ab8c1bf-a3f4-5b65-9768-ca3c1a2e7748,Aven Windreader,{3}{U}{U},5,Blue,Creature — Bird Soldier Wizard,Creature,"",Bird Soldier Wizard,Common,3,3,,"Flying (This creature can't be blocked except by creatures with flying or reach.)
{1}{U}: Target player reveals the top card of their library.",10E,Tenth Edition
cd4f2e38-bfbb-5172-99c0-aa0b9dfa6e9e,Aven Windreader,{3}{U}{U},5,Blue,Creature — Bird Soldier Wizard,Creature,"",Bird Soldier Wizard,Common,3,3,,"Flying (This creature can't be blocked except by creatures with flying or reach.)
{1}{U}: Target player reveals the top card of their library.",10E,Tenth Edition
bfbb65b1-f1bb-5355-9495-fb094f9b0782,Ballista Squad,{3}{W},4,White,Creature — Human Rebel,Creature,"",Human Rebel,Uncommon,2,2,,"{X}{W}, {T}: Ballista Squad deals X damage to target attacking or blocking creature.",10E,Tenth Edition
a634f6df-fd74-54d9-a56c-3fdd2ad3e9bf,Bandage,{W},1,White,Instant,Instant,"","",Common,"","",,"Prevent the next 1 damage that would be dealt to any target this turn.
Draw a card.",10E,Tenth Edition
9c137f5d-27db-59fc-9284-29cd0a9eba4f,Battlefield Forge,"",0,"",Land,Land,"","",Rare,"","",,"{T}: Add {C}.
{T}: Add {R} or {W}. Battlefield Forge deals 1 damage to you.",10E,Tenth Edition
908b390b-3047-518a-ad0b-bd06ff833676,Beacon of Destruction,{3}{R}{R},5,Red,Instant,Instant,"","",Rare,"","",,Beacon of Destruction deals 5 damage to any target. Shuffle Beacon of Destruction into its owner's library.,10E,Tenth Edition
43f8222f-3fd5-5491-9e76-5b1cc9a86e93,Beacon of Immortality,{5}{W},6,White,Instant,Instant,"","",Rare,"","",,Double target player's life total. Shuffle Beacon of Immortality into its owner's library.,10E,Tenth Edition
d51f34a4-ce62-5003-94ec-86cdddea2d1c,Beacon of Unrest,{3}{B}{B},5,Black,Sorcery,Sorcery,"","",Rare,"","",,Put target artifact or creature card from a graveyard onto the battlefield under your control. Shuffle Beacon of Unrest into its owner's library.,10E,Tenth Edition
1c5f900e-982d-5c65-89fd-46dd4db76716,Benalish Knight,{2}{W},3,White,Creature — Human Knight,Creature,"",Human Knight,Common,2,2,,"Flash (You may cast this spell any time you could cast an instant.)
First strike (This creature deals combat damage before creatures without first strike.)",10E,Tenth Edition
50eac642-2fda-5f35-a5fc-6f6e10c3ee85,Benalish Knight,{2}{W},3,White,Creature — Human Knight,Creature,"",Human Knight,Common,2,2,,"Flash (You may cast this spell any time you could cast an instant.)
First strike (This creature deals combat damage before creatures without first strike.)",10E,Tenth Edition
df15d202-901b-5a81-aa21-0e33f487838c,Birds of Paradise,{G},1,Green,Creature — Bird,Creature,"",Bird,Rare,0,1,,"Flying
{T}: Add one mana of any color.",10E,Tenth Edition
0c9b510b-6472-5339-bd6f-18cecc2e5482,Birds of Paradise,{G},1,Green,Creature — Bird,Creature,"",Bird,Rare,0,1,,"Flying
{T}: Add one mana of any color.",10E,Tenth Edition
fd9bed0d-36da-5ae0-b9cd-6ce7c302056e,Blanchwood Armor,{2}{G},3,Green,Enchantment — Aura,Enchantment,"",Aura,Uncommon,"","",,"Enchant creature
Enchanted creature gets +1/+1 for each Forest you control.",10E,Tenth Edition
f05509a3-b72c-5ceb-94e5-1f3c250db56b,Blanchwood Armor,{2}{G},3,Green,Enchantment — Aura,Enchantment,"",Aura,Uncommon,"","",,"Enchant creature
Enchanted creature gets +1/+1 for each Forest you control.",10E,Tenth Edition
da832feb-02bb-5527-a7da-e149d7db9f1f,Blaze,{X}{R},1,Red,Sorcery,Sorcery,"","",Uncommon,"","",,Blaze deals X damage to any target.,10E,Tenth Edition
ce2e3ad5-e130-503f-b646-08371c1cfec0,Bloodfire Colossus,{6}{R}{R},8,Red,Creature — Giant,Creature,"",Giant,Rare,6,6,,"{R}, Sacrifice Bloodfire Colossus: It deals 6 damage to each creature and each player.",10E,Tenth Edition
64271d17-5b04-59d6-9725-18f9630076f9,Bloodrock Cyclops,{2}{R},3,Red,Creature — Cyclops,Creature,"",Cyclops,Common,3,3,,Bloodrock Cyclops attacks each combat if able.,10E,Tenth Edition
1f36fc8b-d32a-5683-9bfa-6f02f7fdba84,Bog Wraith,{3}{B},4,Black,Creature — Wraith,Creature,"",Wraith,Uncommon,3,3,,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),10E,Tenth Edition
4b6294e9-28db-5e4a-9d5d-4d4aeff037a3,Bog Wraith,{3}{B},4,Black,Creature — Wraith,Creature,"",Wraith,Uncommon,3,3,,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),10E,Tenth Edition
2c4149b0-6f3f-5117-9a96-ad217397572b,Bogardan Firefiend,{2}{R},3,Red,Creature — Elemental Spirit,Creature,"",Elemental Spirit,Common,2,1,,"When Bogardan Firefiend dies, it deals 2 damage to target creature.",10E,Tenth Edition
bb865095-2690-5bee-a1ee-fd7d127acf28,Boomerang,{U}{U},2,Blue,Instant,Instant,"","",Common,"","",,Return target permanent to its owner's hand.,10E,Tenth Edition
e5affb31-7153-5945-a062-f9c5b5c0014d,Bottle Gnomes,{3},3,"",Artifact Creature — Gnome,Artifact Creature,"",Gnome,Uncommon,1,3,,Sacrifice Bottle Gnomes: You gain 3 life.,10E,Tenth Edition
ca1b29f4-9019-5ddc-95af-a5c900b67c58,Brushland,"",0,"",Land,Land,"","",Rare,"","",,"{T}: Add {C}.
{T}: Add {G} or {W}. Brushland deals 1 damage to you.",10E,Tenth Edition
de8ef420-862b-5b5c-a112-79c22cfdbceb,Cancel,{1}{U}{U},3,Blue,Instant,Instant,"","",Common,"","",,Counter target spell.,10E,Tenth Edition
717d33e3-2344-519d-af37-3e216c46d3f4,Canopy Spider,{1}{G},2,Green,Creature — Spider,Creature,"",Spider,Common,1,3,,Reach (This creature can block creatures with flying.),10E,Tenth Edition
3637154c-6924-5072-bd32-36d1e32ee11a,Canopy Spider,{1}{G},2,Green,Creature — Spider,Creature,"",Spider,Common,1,3,,Reach (This creature can block creatures with flying.),10E,Tenth Edition
11732051-8f6e-59f4-b08e-71d6bb16b1f2,Caves of Koilos,"",0,"",Land,Land,"","",Rare,"","",,"{T}: Add {C}.
{T}: Add {W} or {B}. Caves of Koilos deals 1 damage to you.",10E,Tenth Edition
031a56f1-1554-5ad3-b889-afe198354b85,Cephalid Constable,{1}{U}{U},3,Blue,Creature — Cephalid Wizard,Creature,"",Cephalid Wizard,Rare,1,1,,"Whenever Cephalid Constable deals combat damage to a player, return up to that many target permanents that player controls to their owner's hand.",10E,Tenth Edition
522e6de3-4c31-5303-aba2-127c1e36a8d4,Chimeric Staff,{4},4,"",Artifact,Artifact,"","",Rare,"","",,{X}: Chimeric Staff becomes an X/X Construct artifact creature until end of turn.,10E,Tenth Edition
8f6bfe34-f704-5ac8-a025-921a0276bb54,"Cho-Manno, Revolutionary",{2}{W}{W},4,White,Legendary Creature — Human Rebel,Creature,Legendary,Human Rebel,Rare,2,2,,"Prevent all damage that would be dealt to Cho-Manno, Revolutionary.",10E,Tenth Edition
6648a8ec-91a2-57fb-82c5-e705d467b2ea,Chromatic Star,{1},1,"",Artifact,Artifact,"","",Uncommon,"","",,"{1}, {T}, Sacrifice Chromatic Star: Add one mana of any color.
When Chromatic Star is put into a graveyard from the battlefield, draw a card.",10E,Tenth Edition
c462b4ea-8b7d-57f2-b014-f723165fcc6d,Citanul Flute,{5},5,"",Artifact,Artifact,"","",Rare,"","",,"{X}, {T}: Search your library for a creature card with converted mana cost X or less, reveal it, and put it into your hand. Then shuffle your library.",10E,Tenth Edition
38571b6a-82fb-5e9d-bd90-37cf94ab67ea,Civic Wayfinder,{2}{G},3,Green,Creature — Elf Druid Warrior,Creature,"",Elf Druid Warrior,Common,2,2,,"When Civic Wayfinder enters the battlefield, you may search your library for a basic land card, reveal it, and put it into your hand. If you do, shuffle your library.",10E,Tenth Edition
c75ee39c-5afd-54c0-b2bf-be3d455373c2,Clone,{3}{U},4,Blue,Creature — Shapeshifter,Creature,"",Shapeshifter,Rare,0,0,,You may have Clone enter the battlefield as a copy of any creature on the battlefield.,10E,Tenth Edition
ac0bc104-7986-5eb4-b6c9-375120468c17,Cloud Elemental,{2}{U},3,Blue,Creature — Elemental,Creature,"",Elemental,Common,2,3,,"Flying
Cloud Elemental can block only creatures with flying.",10E,Tenth Edition
4107aaeb-a96c-54ce-8042-08aa27f1f72e,Cloud Elemental,{2}{U},3,Blue,Creature — Elemental,Creature,"",Elemental,Common,2,3,,"Flying
Cloud Elemental can block only creatures with flying.",10E,Tenth Edition
807c3d5b-7fdc-5f9a-910d-20d6d1fbbe1a,Cloud Sprite,{U},1,Blue,Creature — Faerie,Creature,"",Faerie,Common,1,1,,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Cloud Sprite can block only creatures with flying.",10E,Tenth Edition
7a81542e-9153-5416-84f0-a45d01e2935d,Cloud Sprite,{U},1,Blue,Creature — Faerie,Creature,"",Faerie,Common,1,1,,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Cloud Sprite can block only creatures with flying.",10E,Tenth Edition
908534a1-b3cd-5fad-b716-9a0e4a6d1d5f,Coat of Arms,{5},5,"",Artifact,Artifact,"","",Rare,"","",,"Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. (For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)",10E,Tenth Edition
bac95ded-e0ed-55a9-881b-5787fb4d7e57,Coat of Arms,{5},5,"",Artifact,Artifact,"","",Rare,"","",,"Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. (For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)",10E,Tenth Edition
a62ac877-9bb2-51b3-80e8-5768a52d0aa4,Colossus of Sardia,{9},9,"",Artifact Creature — Golem,Artifact Creature,"",Golem,Rare,9,9,,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Colossus of Sardia doesn't untap during your untap step.
{9}: Untap Colossus of Sardia. Activate this ability only during your upkeep.",10E,Tenth Edition
22cc2c35-c785-575c-b2d7-00477e7ec599,Colossus of Sardia,{9},9,"",Artifact Creature — Golem,Artifact Creature,"",Golem,Rare,9,9,,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Colossus of Sardia doesn't untap during your untap step.
{9}: Untap Colossus of Sardia. Activate this ability only during your upkeep.",10E,Tenth Edition
2bc85ce1-710d-54fc-a11a-7eaba757830b,Commune with Nature,{G},1,Green,Sorcery,Sorcery,"","",Common,"","",,Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.,10E,Tenth Edition
1a7fc131-31f8-51c4-8ca6-e7f7601dcfdf,Composite Golem,{6},6,"",Artifact Creature — Golem,Artifact Creature,"",Golem,Uncommon,4,4,,Sacrifice Composite Golem: Add {W}{U}{B}{R}{G}.,10E,Tenth Edition
42b053db-3d18-5e1a-b4c8-c39233ad9afe,Condemn,{W},1,White,Instant,Instant,"","",Uncommon,"","",,Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.,10E,Tenth Edition
15c434d4-a6a5-5567-a24f-42b0ab468e86,Cone of Flame,{3}{R}{R},5,Red,Sorcery,Sorcery,"","",Uncommon,"","",,"Cone of Flame deals 1 damage to any target, 2 damage to another target, and 3 damage to a third target.",10E,Tenth Edition
a97410e8-c13c-562c-b296-73689d7007db,Consume Spirit,{X}{1}{B},2,Black,Sorcery,Sorcery,"","",Uncommon,"","",,"Spend only black mana on X.
Consume Spirit deals X damage to any target and you gain X life.",10E,Tenth Edition
c5393c68-2c74-523c-93a7-f4bd53f46faa,Contaminated Bond,{1}{B},2,Black,Enchantment — Aura,Enchantment,"",Aura,Common,"","",,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Whenever enchanted creature attacks or blocks, its controller loses 3 life.",10E,Tenth Edition
e0d8ae7a-f932-5b4b-b262-74ed78de4a7c,Contaminated Bond,{1}{B},2,Black,Enchantment — Aura,Enchantment,"",Aura,Common,"","",,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Whenever enchanted creature attacks or blocks, its controller loses 3 life.",10E,Tenth Edition
1aa697f8-b8d9-548e-92d2-427640efc113,Counsel of the Soratami,{2}{U},3,Blue,Sorcery,Sorcery,"","",Common,"","",,Draw two cards.,10E,Tenth Edition
c5fdd729-0c3c-53b9-8741-d9023fca6dd7,Crafty Pathmage,{2}{U},3,Blue,Creature — Human Wizard,Creature,"",Human Wizard,Common,1,1,,{T}: Target creature with power 2 or less can't be blocked this turn.,10E,Tenth Edition
ada04e68-5bec-59bf-8474-7e87e82da1e8,Craw Wurm,{4}{G}{G},6,Green,Creature — Wurm,Creature,"",Wurm,Common,6,4,,"",10E,Tenth Edition
20590ae1-d37c-5f8d-830b-575b493d2ee2,Creeping Mold,{2}{G}{G},4,Green,Sorcery,Sorcery,"","",Uncommon,"","",,"Destroy target artifact, enchantment, or land.",10E,Tenth Edition
a4624c81-a1de-565b-83f7-103af6b9ebde,Crucible of Worlds,{3},3,"",Artifact,Artifact,"","",Rare,"","",,You may play land cards from your graveyard.,10E,Tenth Edition
7b94dbd6-ea37-5c4d-aa19-697deacca4f4,Cruel Edict,{1}{B},2,Black,Sorcery,Sorcery,"","",Uncommon,"","",,Target opponent sacrifices a creature.,10E,Tenth Edition
fbfdbb8e-b391-5b89-9106-fa55b82828e4,Cryoclasm,{2}{R},3,Red,Sorcery,Sorcery,"","",Uncommon,"","",,Destroy target Plains or Island. Cryoclasm deals 3 damage to that land's controller.,10E,Tenth Edition
15d0f300-0989-5531-9eec-8a9b5320d822,Deathmark,{B},1,Black,Sorcery,Sorcery,"","",Uncommon,"","",,Destroy target green or white creature.,10E,Tenth Edition
1cc1e203-89d1-5d70-866d-48002aa268fa,Dehydration,{3}{U},4,Blue,Enchantment — Aura,Enchantment,"",Aura,Common,"","",,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature doesn't untap during its controller's untap step.",10E,Tenth Edition
228b69a1-ddae-575c-82d7-75912a6d1fe1,Dehydration,{3}{U},4,Blue,Enchantment — Aura,Enchantment,"",Aura,Common,"","",,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature doesn't untap during its controller's untap step.",10E,Tenth Edition
b3bf8c54-da02-5028-b1ec-5485b4861e56,Deluge,{2}{U},3,Blue,Instant,Instant,"","",Uncommon,"","",,Tap all creatures without flying.,10E,Tenth Edition
a1901190-a766-5bf7-9dd7-9c1bdb0b4280,Demolish,{3}{R},4,Red,Sorcery,Sorcery,"","",Common,"","",,Destroy target artifact or land.,10E,Tenth Edition
badd0cd9-52ce-5c07-b404-160f6f5b0de0,Demon's Horn,{2},2,"",Artifact,Artifact,"","",Uncommon,"","",,"Whenever a player casts a black spell, you may gain 1 life.",10E,Tenth Edition
60d5ea8d-6c6c-5ed8-8b53-6d0c91e9f4c8,Demystify,{W},1,White,Instant,Instant,"","",Common,"","",,Destroy target enchantment.,10E,Tenth Edition
0498cd5a-75e9-5163-90e8-f8d15a97af59,Denizen of the Deep,{6}{U}{U},8,Blue,Creature — Serpent,Creature,"",Serpent,Rare,11,11,,"When Denizen of the Deep enters the battlefield, return each other creature you control to its owner's hand.",10E,Tenth Edition
5e472972-de49-5bf8-b39c-edfdf7851976,Diabolic Tutor,{2}{B}{B},4,Black,Sorcery,Sorcery,"","",Uncommon,"","",,Search your library for a card and put that card into your hand. Then shuffle your library.,10E,Tenth Edition
22ae1f11-52af-5d4b-b10d-731b833072e6,Discombobulate,{2}{U}{U},4,Blue,Instant,Instant,"","",Uncommon,"","",,"Counter target spell. Look at the top four cards of your library, then put them back in any order.",10E,Tenth Edition
06174318-8c83-5592-a3f7-af87fb9fbd41,Distress,{B}{B},2,Black,Sorcery,Sorcery,"","",Common,"","",,Target player reveals their hand. You choose a nonland card from it. That player discards that card.,10E,Tenth Edition
3fa72363-abad-5583-a2ec-d7ea4b56ca8f,Doomed Necromancer,{2}{B},3,Black,Creature — Human Cleric Mercenary,Creature,"",Human Cleric Mercenary,Rare,2,2,,"{B}, {T}, Sacrifice Doomed Necromancer: Return target creature card from your graveyard to the battlefield.",10E,Tenth Edition
7a0ff338-8b06-5bd1-9ead-7eae12664cd2,Doubling Cube,{2},2,"",Artifact,Artifact,"","",Rare,"","",,"{3}, {T}: Double the amount of each type of unspent mana you have.",10E,Tenth Edition
39f148f0-6860-551e-854d-182297fa6e8d,Dragon Roost,{4}{R}{R},6,Red,Enchantment,Enchantment,"","",Rare,"","",,{5}{R}{R}: Create a 5/5 red Dragon creature token with flying. (It can't be blocked except by creatures with flying or reach.),10E,Tenth Edition
927834a1-8083-5e34-bf02-b347dc1027dd,Dragon Roost,{4}{R}{R},6,Red,Enchantment,Enchantment,"","",Rare,"","",,{5}{R}{R}: Create a 5/5 red Dragon creature token with flying. (It can't be blocked except by creatures with flying or reach.),10E,Tenth Edition
12ce19aa-cb82-5e0b-9fbb-15a7ef3ab13d,Dragon's Claw,{2},2,"",Artifact,Artifact,"","",Uncommon,"","",,"Whenever a player casts a red spell, you may gain 1 life.",10E,Tenth Edition
8d3b077d-fc4d-580c-aabf-d24acb3063b3,Dreamborn Muse,{2}{U}{U},4,Blue,Creature — Spirit,Creature,"",Spirit,Rare,2,2,,"At the beginning of each player's upkeep, that player puts the top X cards of their library into their graveyard, where X is the number of cards in their hand.",10E,Tenth Edition
13ce84e3-9378-5edc-900b-6d9ee2921bdd,Dross Crocodile,{3}{B},4,Black,Creature — Zombie Crocodile,Creature,"",Zombie Crocodile,Common,5,1,,"",10E,Tenth Edition
1f36b9a1-09fd-58b1-a942-2d75d48268cd,Drudge Skeletons,{1}{B},2,Black,Creature — Skeleton,Creature,"",Skeleton,Uncommon,1,1,,"{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)",10E,Tenth Edition
b9f5ce14-f268-5eb2-840c-461b5455b99e,Drudge Skeletons,{1}{B},2,Black,Creature — Skeleton,Creature,"",Skeleton,Uncommon,1,1,,"{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)",10E,Tenth Edition
8b3b66f0-8eb9-53b6-8bd9-3548d104f1ed,Duct Crawler,{R},1,Red,Creature — Insect,Creature,"",Insect,Common,1,1,,{1}{R}: Target creature can't block Duct Crawler this turn.,10E,Tenth Edition
